0: [[23, 20, 14, 3, 17, 10, 24], [19, 13, 2, 4, 22, 6, 9, 1, 5], [7, 8, 11, 12, 15, 16, 18, 21]]
1: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
2: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
3: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
4: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
5: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
6: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
7: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
8: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
9: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
10: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
11: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
12: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
13: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
14: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
15: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
16: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
17: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
18: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
19: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
20: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
21: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
22: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
23: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
24: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
25: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1], [6, 9, 7, 8, 11, 12, 15, 16, 18, 21]]
26: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1], [6, 9, 7, 8, 11, 12, 15, 16, 18, 21]]
27: [[23, 20, 14, 3, 17, 10, 24, 5], [19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
28: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
29: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
30: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
31: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
32: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
33: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
34: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
35: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1], [6, 9, 7, 8, 11, 12, 15, 16, 18, 21]]
36: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
37: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
38: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
39: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6], [9, 7, 8, 11, 12, 15, 16, 18, 21]]
40: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
41: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
42: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
43: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
44: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
45: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
46: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
47: [[23, 20, 14, 3, 17, 10, 24], [5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
48: [[23, 20, 14, 3, 17, 10], [24, 5, 19, 13, 2, 4, 22, 1, 6, 9, 7], [8, 11, 12, 15, 16, 18, 21]]
49: [[23, 20, 14, 3, 17], [10, 24, 5, 19, 13, 2, 4, 22, 1, 6, 9], [7, 8, 11, 12, 15, 16, 18, 21]]
