It No., Best MQ, No clusters, max clus, min clus
1,1.9856254856254856,5,5,2
2,2.027856201769245,5,4,4
3,2.2251866490996925,7,4,2
4,1.9281557152524893,4,6,4
5,2.0744340248176565,4,6,4
6,2.1262689001819437,6,4,2
7,2.0012897857291447,5,6,3
8,2.14282974674279,6,4,2
9,2.0710796449926883,5,5,3
10,2.059170400346871,6,5,2
11,2.1181159420289855,6,4,2
12,2.1190324295587453,6,4,3
13,2.093949275362319,5,5,2
14,2.2168533157663592,7,4,2
15,2.105396065922382,6,5,2
16,2.2532467532467533,6,5,2
17,2.1947595713041936,6,5,2
18,2.2622236861367293,6,5,2
19,2.01793515409076,6,5,2
20,2.1671520910651343,6,5,2
21,2.035549134014607,6,5,2
22,1.9638170652876537,5,6,2
23,2.1052371541501973,7,4,1
24,1.9802139037433155,6,4,3
25,2.0485625485625487,6,5,2
26,2.0195731248362825,6,6,2
27,2.204040404040404,7,4,2
28,2.2093280632411068,5,5,3
29,2.0123338649654436,7,4,2
30,1.887956487956488,8,4,2
31,2.0780726519856954,5,5,3
