0: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
1: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
2: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
3: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
4: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
5: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
6: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
7: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
8: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
9: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
10: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
11: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
12: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
13: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
14: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
15: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
16: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
17: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
18: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
19: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
20: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
21: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
22: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
23: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
24: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
25: [[8, 1, 3, 2], [5, 7, 10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
26: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
27: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
28: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
29: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
30: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
31: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
32: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
33: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
34: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
35: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
36: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
37: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
38: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
39: [[8, 1, 3, 2, 5, 7], [10, 14, 6, 4], [13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
40: [[8, 1, 3, 2], [5, 7, 10, 14], [6, 4, 13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
41: [[8, 1, 3, 2], [5, 7, 10, 14], [6, 4, 13, 11, 12, 9], [19, 15, 17, 20, 18, 16]]
