0: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
1: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
2: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
3: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
4: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
5: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 20, 28], [21, 25, 26, 27, 29]]
6: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 28, 23], [21, 25, 26, 27, 29]]
7: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
8: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
9: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
10: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
11: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 23, 20, 28, 10], [21, 25, 26, 27, 29]]
12: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
13: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
14: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
15: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
16: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
17: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 23, 20, 10, 28], [21, 25, 26, 27, 29]]
18: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 20, 28], [21, 25, 26, 27, 29]]
19: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 28, 20], [21, 25, 26, 27, 29]]
20: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
21: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 20, 28], [21, 25, 26, 27, 29]]
22: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
23: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
