0: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
1: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
2: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
3: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
4: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
5: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
6: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
7: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
8: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
9: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
10: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
11: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
12: [[3, 1, 5], [2, 10, 8, 4, 6], [7, 12, 11, 13, 9]]
13: [[3, 1, 5, 2], [10, 8, 4, 6], [7, 12, 11, 13, 9]]
14: [[3, 1, 5, 2], [10, 8, 4, 6], [7, 12, 11, 13, 9]]
15: [[3, 1, 5, 2], [10, 8, 4, 6], [7, 12, 11, 13, 9]]
16: [[3, 1, 5, 2], [10, 8, 4, 6], [7, 12, 11, 13, 9]]
17: [[3, 1, 5], [2, 10, 8, 4], [6, 7, 12, 11, 13, 9]]
18: [[3, 1, 5], [2, 10, 8], [4, 6], [7, 12, 11, 13, 9]]
19: [[3, 1, 5], [2, 10, 8], [4, 6], [7, 12, 11, 13, 9]]
20: [[3, 1, 5], [2, 10, 8, 4], [6, 7, 12, 11, 13], [9]]
21: [[3, 1, 5, 2, 10], [8, 4, 6, 7, 12], [11, 13, 9]]
22: [[3, 1, 5, 2, 10], [8, 4, 6, 7, 12], [11, 13, 9]]
23: [[3, 1, 5, 2], [10, 8, 4, 6, 7], [12, 11, 13, 9]]
24: [[3, 1, 5, 2], [10, 8, 4, 6, 7], [12, 11, 13, 9]]
25: [[3, 1, 5, 2, 10], [8, 4, 6, 7], [12, 11, 13, 9]]
