It No., Best MQ, No clusters, max clus, min clus
1,1.5130335122121548,5,17,9
2,1.5940394293040618,21,8,1
3,1.5174417403523868,16,6,2
4,1.6209678978907252,7,13,7
5,1.6100605406441264,22,8,1
6,1.389454820845117,4,17,13
7,1.698311563884969,25,5,1
8,1.6022956419291052,13,7,2
9,1.3855751311582112,4,19,7
10,1.3467267421052718,4,18,12
11,1.5578481028245068,6,15,5
12,1.3640856779542925,4,18,10
13,1.632564029246914,14,10,1
14,1.4950202295786417,5,13,11
15,1.6142397590593174,6,21,5
16,1.438995416544855,5,13,11
17,1.452346078435147,14,8,1
18,1.3806283003866868,4,22,11
19,1.432217854749383,12,7,3
20,1.5076845520510844,24,6,1
21,1.4142881811729426,4,20,12
22,1.5150241053690554,5,22,8
23,1.498717667582548,6,11,7
24,1.5792684634626815,24,6,1
25,1.3845295453339597,4,18,10
26,1.6092400013205888,14,8,2
27,1.3767620478644853,4,17,14
28,1.8120967127969787,24,5,1
29,1.4573341634525876,5,13,11
30,1.416346351928512,4,23,9
31,1.816090453094949,21,5,1
