0: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17, 18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
1: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10, 17], [18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
2: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17], [18, 16], [20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
3: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17], [18, 16], [20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
4: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8], [19, 15, 7], [14, 9, 10, 17], [18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
5: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33], [34, 35], [36]]
6: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17, 18], [16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32], [33, 34, 35, 36]]
7: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7], [14, 9, 10, 17], [18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
8: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
9: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7, 14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
10: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35], [36]]
11: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17, 18], [16, 20, 23, 27, 29], [24, 21], [25, 28, 26, 31], [30, 32, 33, 34], [35, 36]]
12: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33, 34, 35, 36]]
