0: [[5, 3, 1], [4, 10], [6, 8, 11, 7, 13, 12, 9, 2]]
1: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
2: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
3: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
4: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
5: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
6: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
7: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
8: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
9: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
10: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
11: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
12: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
13: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
14: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
15: [[1, 5, 3], [4, 10], [6, 2, 8, 11, 7, 13, 12, 9]]
16: [[1, 5, 3, 4, 10], [6, 2], [8, 11, 7, 13, 12, 9]]
17: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
18: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
19: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
20: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
21: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
22: [[1, 5, 3, 4], [10, 6], [2, 8, 11, 7, 13, 12, 9]]
23: [[1, 5], [3, 4], [10, 6, 2, 8, 11, 7, 13, 12, 9]]
24: [[1, 5], [3, 4], [10, 6, 2, 8, 11, 7, 13, 12, 9]]
25: [[1, 5], [3, 4], [10, 6, 2, 8, 11, 7, 13, 12, 9]]
26: [[1, 5], [3, 4], [10, 6, 2, 8, 11, 7, 13, 12, 9]]
27: [[1, 5], [3, 4], [10, 6, 2, 8, 11, 7, 13, 12, 9]]
