0: [[3, 1], [2, 8, 7, 5, 10], [13, 4], [12, 11, 9], [14, 16, 6, 15], [17, 18, 19, 20]]
1: [[3, 1], [2, 8], [7, 5, 10], [13, 4], [12, 11, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
2: [[3, 1], [2, 8, 7], [5, 10], [13, 12, 4], [11, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
3: [[3, 1, 2], [8, 7, 5, 10], [13, 12, 4], [11, 9], [14, 16, 6, 15], [17, 18, 19, 20]]
4: [[3, 1], [8, 2], [7, 5, 10], [13, 14, 4, 6], [11, 15, 12, 9], [16, 17, 18, 19, 20]]
5: [[3, 1, 8, 2], [7, 5, 10], [13], [12, 11, 9, 4], [14, 16, 15, 6], [17, 18, 19, 20]]
6: [[3, 1, 2, 8], [7, 5, 10], [13], [12, 11, 9, 4], [14, 16, 6, 15], [17, 18, 19, 20]]
7: [[3, 1], [2, 8, 7, 5, 10], [13, 4], [11, 12, 9], [14, 15, 17, 16, 18, 19, 20, 6]]
8: [[3, 1], [2, 8, 7], [5, 10, 13, 4], [12, 11], [14, 16, 9, 6, 15], [17, 18, 19, 20]]
9: [[3, 1], [8, 2], [7, 5, 10, 13], [12, 11, 9, 4], [14, 15, 16, 6], [17, 18, 19, 20]]
10: [[3, 1], [2, 8, 7], [5, 10], [13, 4], [12, 11, 9], [14, 6, 15], [16, 17, 18, 19, 20]]
11: [[3, 1, 2, 8], [7, 5, 10], [13, 4], [12, 11, 14, 15, 9, 6], [17, 16, 18, 19, 20]]
12: [[3, 1], [2, 8, 7, 5, 10], [13, 12, 4, 6], [11, 15, 14, 16, 9], [17, 18, 19, 20]]
13: [[3, 1], [2, 8, 7, 5, 10], [13, 12, 4, 6], [11, 15, 14, 16, 9], [17, 18, 19, 20]]
14: [[3, 1], [2, 8, 7, 5, 10], [13, 14, 4, 6], [11, 15, 16, 12, 17, 18, 19, 20, 9]]
15: [[3, 1, 2, 8], [7, 5, 10], [13, 11, 12, 15, 14, 9, 4, 6], [17, 16, 18, 19, 20]]
16: [[3, 1, 2, 8], [7, 5, 10], [13, 11, 12, 15, 14, 9, 4, 6], [17, 16, 18, 19, 20]]
17: [[3, 1, 2, 8], [7, 5, 10], [13, 12, 4, 6], [11, 14, 15, 16, 9], [17, 19, 18, 20]]
18: [[3, 1], [2, 8], [7, 5, 10], [13, 14, 4, 6], [11, 12, 15, 16, 17, 19, 18, 20, 9]]
19: [[3, 1, 2], [8, 7, 5], [10, 13, 9], [14, 4, 6], [11, 12], [16, 15], [17, 18, 19, 20]]
20: [[3, 1], [2, 8], [7, 5, 10], [13, 14, 9, 4], [11, 6], [12, 16, 15], [17, 18, 19, 20]]
21: [[3, 1, 2, 8], [7, 5, 10, 13], [12, 11, 4], [14, 15, 16, 9, 6], [17, 18, 19, 20]]
22: [[3, 1], [2, 8, 7, 5], [10, 13, 4], [14, 11, 12, 15], [16, 9, 6], [17, 18, 19, 20]]
23: [[3, 1], [8, 7, 2], [5, 10, 13], [14, 4], [12, 11, 9, 6], [15, 16, 17, 18, 19, 20]]
24: [[3, 1], [2, 8, 7, 5, 10], [13, 6], [11, 12, 9, 4], [14, 15], [17, 16, 18, 19, 20]]
25: [[3, 1], [2, 8], [7, 5], [10, 13, 12, 11, 14, 15, 16, 17, 9, 4, 6], [18, 19, 20]]
26: [[3, 1, 2, 8], [7, 5, 10, 13], [14, 11, 12, 4, 6], [17, 16, 9, 15], [18, 19, 20]]
27: [[3, 1, 2, 8], [7, 5, 10], [13, 4, 14, 9, 11, 6, 15, 12, 16, 17, 18, 19, 20]]
28: [[3, 1, 2, 8], [7, 5, 10, 13], [14, 11, 9, 4, 6], [12], [16, 17, 15], [18, 19, 20]]
29: [[3, 1], [2, 8, 7], [5, 10], [13, 4], [14, 11, 6], [12, 16, 19, 9, 15], [17, 18, 20]]
30: [[3, 1], [2, 8], [7, 5], [10, 13, 9, 4], [12], [11, 14, 6], [17, 16, 15], [18, 19, 20]]
31: [[3, 1, 2, 8], [7, 5, 10], [13, 12, 6], [11, 9, 4], [14, 16, 17, 18, 15], [19, 20]]
32: [[3, 1], [2, 8, 7, 5, 10, 13, 6, 14, 11, 4], [9, 12, 15, 16, 17, 18], [19, 20]]
33: [[3, 1], [2, 8, 7, 5], [10, 13, 4, 6], [14, 11, 12, 15, 16, 17, 18, 19, 20, 9]]
34: [[3, 1, 2, 8], [7, 5, 10, 13], [14, 11, 4, 6], [16, 17, 15], [12, 18, 19, 20, 9]]
35: [[3, 1, 2, 8], [7, 5, 10, 13], [4, 6], [14, 11], [12, 15, 9, 16], [17, 18], [19, 20]]
36: [[3, 1, 2], [8, 7, 5, 10, 13, 4, 9, 6], [11, 14, 15, 12, 16, 17, 18, 19, 20]]
37: [[3, 1], [2, 8, 7], [5, 10, 13, 4], [15, 11, 14, 12, 16, 17, 18, 19, 20, 9, 6]]
38: [[3, 1], [2, 8, 7, 5], [10, 13, 4, 11, 12, 9, 6, 14, 15, 16, 17, 18, 19, 20]]
39: [[3, 1], [2, 8, 7, 5], [10, 13, 4, 6, 9, 11, 15, 14, 12, 16, 17, 18, 19, 20]]
40: [[3, 1, 2], [8, 7], [5, 10, 13, 4, 14, 11, 6, 15, 12, 9], [16, 17, 18, 19, 20]]
41: [[3, 1], [10, 2, 6], [5, 4], [13, 12, 14], [11], [8, 18, 7, 16, 17, 9, 15], [19, 20]]
