0: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
1: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
2: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
3: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
4: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
5: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
6: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
7: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
8: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
9: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
10: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
11: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
12: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
13: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
14: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
15: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
16: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
17: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
18: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
19: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
20: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
21: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
22: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
23: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
24: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
25: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
26: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
27: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12, 8], [15, 17, 19, 18], [23, 22, 21, 24]]
28: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12, 8], [15, 17, 19, 18], [23, 22, 21, 24]]
29: [[13, 1, 9], [2, 16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
30: [[13, 1, 9], [2, 16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
31: [[13, 1, 9, 2], [16, 6, 4, 5, 3, 10], [14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
32: [[13, 1, 9, 2], [16, 6, 4, 5, 3, 10], [14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
33: [[13, 1, 9, 2], [16, 6, 4, 5, 3, 10], [14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
34: [[13, 1, 9, 2, 16], [6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
35: [[13, 1, 9, 2], [16, 6, 4, 5], [3, 10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
36: [[13, 1, 9, 2], [16, 6, 4, 5], [3, 10, 14, 11, 20, 7], [12, 8, 15, 17, 19, 18], [23, 22, 21, 24]]
37: [[13, 1, 9], [2, 16, 6, 4, 5, 3, 10], [14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
38: [[13, 1, 9], [2, 16, 6, 4, 5], [3, 10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
39: [[13, 1, 9], [2, 16, 6, 4, 5], [3, 10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
40: [[13, 1, 9, 2, 16], [6, 4, 5, 3, 10], [14, 11, 20, 7, 12, 8], [15, 17, 19, 18], [23, 22, 21, 24]]
41: [[13, 1, 9], [2, 16, 6, 4, 5], [3, 10, 14, 11, 20, 7], [12, 8, 15, 17, 19, 18], [23, 22, 21, 24]]
42: [[13, 1, 9], [2, 16, 6, 4, 5], [3, 10, 14, 11, 20, 7], [12, 8, 15, 17, 19, 18], [23, 22, 21, 24]]
43: [[13, 1, 9], [2, 16, 6, 4], [5, 3, 10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18], [23, 22, 21, 24]]
44: [[13, 1, 9, 2], [16, 6, 4], [5, 3, 10, 14, 11, 20], [7, 12, 8, 15, 17, 19, 18], [23, 22, 21, 24]]
45: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12], [8, 15, 17, 19, 18, 23], [22, 21, 24]]
46: [[13, 1, 9, 2], [16, 6, 4, 5], [3, 10, 14, 11, 20, 7], [12, 8, 15, 17, 19], [18, 23, 22, 21, 24]]
47: [[13, 1, 9, 2], [16, 6, 4, 5], [3, 10, 14, 11, 20, 7], [12, 8, 15, 17, 19], [18, 23, 22, 21, 24]]
48: [[13, 1, 9, 2], [16, 6, 4, 5, 3], [10, 14, 11, 20, 7, 12, 8, 15], [17, 19, 18, 23], [22, 21, 24]]
49: [[13, 1, 9, 2], [16, 6, 4, 5, 3, 10], [14, 11, 20, 7, 12, 8], [15, 17, 19, 18, 23], [22, 21, 24]]
