0: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
1: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
2: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
3: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
4: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
5: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
6: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
7: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
8: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
9: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
10: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
11: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
12: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
13: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
14: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
15: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
16: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
17: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
18: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
19: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
20: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
21: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
22: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
23: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
24: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
25: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
26: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
27: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
28: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
29: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
30: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
31: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
32: [[40, 43, 54, 22], [36, 58, 50], [3, 16, 29, 30, 44, 12], [48], [4, 42, 7], [27, 39, 20, 52, 11, 19, 26, 31, 51], [15, 37, 8, 1, 13, 6, 10, 21], [55], [25, 28, 33], [5, 14, 9, 23, 18], [17, 32, 34], [35, 38, 41, 46, 2], [45, 24], [49, 53, 57, 60], [59, 56, 47]]
