0: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42], [32, 35, 46], [60, 41], [36, 43], [61, 45, 48], [44, 50, 51], [55, 52, 59], [49, 57], [53, 63], [58, 62], [64, 69, 67], [71, 70, 76], [65, 66, 68, 72], [73, 74, 78, 75, 77], [79, 82], [83], [84, 81, 80, 87], [85, 86, 88]]
1: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42], [32, 35, 46], [60, 41], [36, 43], [61, 45, 48], [44, 50, 51], [55, 52, 59], [49, 57], [53, 63], [58, 62], [64, 69, 67], [71, 70, 76], [65, 66, 68, 72], [73, 74, 78, 75, 77], [79, 82], [83], [84, 81, 80, 87], [85, 86, 88]]
2: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42], [32, 35, 46], [60, 41], [36, 43, 61], [45, 48], [44, 50], [51, 55, 52], [59, 49, 57], [53, 63], [58, 62], [64, 69, 67], [71, 70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
3: [[7, 4, 37], [5, 19, 3], [10, 9, 2], [1, 6], [14, 15], [12, 22, 24], [8, 11], [17, 21], [18, 29, 13], [23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32], [35, 46], [60, 41], [36, 43, 61], [45, 48, 44], [50, 51], [55, 52], [59, 49], [57, 53, 63], [58, 62], [64, 69, 67], [71, 70], [76, 65, 66], [68, 72, 73], [74, 78, 75], [77, 79, 82], [83, 84, 81], [80, 87], [85, 86, 88]]
4: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32, 35], [46, 60], [41], [36, 43], [61, 45, 48], [44, 50, 51], [55, 52], [59, 49, 57], [53, 63, 58, 62, 64, 69, 67, 71, 70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
5: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42], [32, 35, 46], [60, 41, 36], [43, 61], [45, 48, 44], [50, 51, 55, 52, 59, 49, 57], [53, 63, 58, 62, 64, 69, 67, 71, 70, 76, 65, 66], [68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
6: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32, 35], [46], [60, 41, 36, 43, 61, 45, 48, 44, 50, 51, 55, 52, 59, 49, 57, 53, 63, 58, 62, 64, 69, 67, 71, 70, 76, 65, 66, 68, 72], [73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
7: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33, 34, 40], [39, 38], [42, 32, 35], [46, 60, 41], [36, 43, 61], [45, 48, 44], [50, 51, 55], [52, 59, 49], [57, 53], [63, 58, 62], [64, 69, 67], [71, 70, 76, 65], [66, 68, 72, 73, 74], [78, 75, 77], [79, 82, 83, 84, 81, 80, 87], [85, 86, 88]]
8: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33, 34, 40], [39, 38, 42], [32, 35, 46], [60], [41, 36, 43], [61, 45, 48], [44, 50, 51], [55, 52], [59, 49], [57, 53, 63], [58, 62], [64, 69, 67], [71, 70], [76, 65], [66, 68, 72], [73, 74, 78], [75, 77, 79], [82, 83, 84], [81, 80, 87], [85, 86, 88]]
9: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42], [32, 35, 46], [60, 41, 36], [43, 61], [45, 48, 44], [50, 51, 55, 52, 59, 49, 57], [53, 63, 58], [62, 64, 69, 67, 71, 70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
10: [[7, 4], [37, 5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32], [35, 46, 60, 41], [36, 43, 61], [45, 48], [44, 50, 51], [55, 52, 59], [49, 57], [53, 63], [58, 62, 64, 69], [67, 71, 70, 76], [65, 66, 68], [72, 73, 74, 78], [75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
11: [[7, 4], [37, 5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32], [35, 46, 60, 41], [36, 43], [61, 45], [48, 44, 50], [51, 55, 52, 59, 49, 57, 53], [63, 58, 62], [64, 69, 67, 71], [70, 76], [65, 66], [68, 72, 73], [74, 78], [75, 77, 79, 82], [83, 84, 81, 80, 87, 85, 86, 88]]
12: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33], [34, 40, 39], [38, 42, 32], [35, 46], [60, 41], [36, 43, 61], [45, 48, 44], [50, 51], [55, 52], [59, 49, 57], [53, 63, 58], [62, 64, 69], [67, 71], [70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
13: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33], [34, 40, 39], [38, 42, 32, 35, 46], [60, 41, 36], [43, 61], [45, 48], [44, 50], [51, 55, 52], [59, 49, 57, 53], [63, 58], [62], [64, 69], [67, 71, 70], [76, 65, 66], [68, 72], [73, 74, 78], [75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
14: [[7, 4, 37], [5, 19, 3], [10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47, 31], [54, 26], [30, 33, 34], [40, 39, 38], [42, 32], [35, 46], [60, 41, 36], [43, 61, 45], [48, 44, 50], [51, 55, 52], [59, 49, 57], [53, 63], [58, 62, 64], [69, 67], [71, 70], [76, 65], [66, 68], [72, 73], [74, 78, 75, 77], [79, 82], [83, 84, 81], [80, 87, 85], [86, 88]]
15: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1], [6, 14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20], [25, 27, 56], [47, 31, 54], [26, 30, 33], [34, 40], [39, 38, 42], [32, 35, 46], [60, 41], [36, 43], [61, 45, 48], [44, 50, 51, 55], [52, 59, 49], [57, 53, 63], [58, 62], [64, 69, 67], [71, 70], [76, 65], [66, 68], [72, 73], [74, 78], [75, 77], [79, 82], [83, 84, 81], [80, 87, 85], [86, 88]]
16: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22], [24, 8], [11, 17, 21], [18, 29], [13, 23, 16], [28, 20], [25, 27, 56], [47, 31, 54], [26, 30, 33], [34, 40, 39], [38, 42], [32, 35], [46, 60, 41], [36, 43, 61], [45, 48], [44, 50, 51], [55, 52], [59, 49], [57, 53, 63], [58, 62], [64, 69, 67, 71, 70], [76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
17: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11], [17, 21], [18, 29, 13], [23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33, 34], [40, 39, 38], [42, 32], [35, 46], [60, 41], [36, 43, 61], [45, 48], [44, 50, 51], [55, 52, 59, 49], [57, 53, 63], [58, 62], [64, 69, 67], [71, 70, 76], [65, 66], [68, 72], [73, 74, 78, 75], [77, 79, 82, 83], [84, 81, 80], [87, 85, 86, 88]]
18: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1], [6, 14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33, 34], [40, 39], [38, 42, 32], [35, 46, 60], [41, 36, 43], [61, 45, 48], [44, 50, 51], [55, 52, 59], [49, 57, 53], [63, 58, 62], [64, 69, 67], [71, 70], [76, 65, 66], [68, 72, 73], [74, 78], [75, 77, 79], [82, 83, 84, 81, 80, 87, 85], [86, 88]]
19: [[7, 4, 37], [5, 19, 3], [10, 9, 2], [1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33], [34, 40, 39], [38, 42], [32, 35], [46, 60, 41, 36], [43, 61, 45, 48, 44, 50, 51, 55, 52, 59, 49, 57, 53, 63, 58, 62, 64, 69, 67], [71, 70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
20: [[7, 4, 37], [5, 19, 3], [10, 9, 2], [1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33], [34, 40, 39], [38, 42], [32, 35], [46, 60, 41, 36], [43, 61, 45, 48, 44, 50, 51, 55, 52, 59, 49, 57, 53, 63, 58, 62, 64, 69, 67], [71, 70, 76, 65, 66, 68, 72, 73, 74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
21: [[7, 4, 37], [5, 19, 3], [10, 9, 2], [1, 6], [14, 15], [12, 22, 24], [8, 11, 17], [21, 18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33], [34, 40, 39], [38, 42, 32], [35, 46, 60], [41, 36, 43], [61, 45, 48, 44], [50, 51], [55, 52, 59], [49, 57], [53, 63, 58, 62, 64, 69, 67, 71, 70, 76, 65, 66, 68, 72, 73], [74, 78, 75, 77, 79, 82, 83, 84, 81, 80, 87, 85, 86, 88]]
22: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1, 6], [14, 15], [12, 22, 24], [8, 11], [17, 21], [18, 29, 13], [23, 16], [28, 20, 25], [27, 56, 47], [31, 54, 26], [30, 33, 34], [40, 39, 38], [42, 32, 35], [46, 60, 41], [36, 43, 61], [45, 48, 44], [50, 51, 55], [52, 59, 49], [57, 53, 63], [58, 62, 64], [69, 67, 71], [70, 76, 65], [66, 68, 72], [73, 74, 78], [75, 77, 79], [82, 83, 84], [81, 80, 87], [85, 86, 88]]
23: [[7, 4, 37], [5, 19], [3, 10, 9], [2, 1], [6, 14, 15], [12, 22, 24], [8, 11], [17, 21], [18, 29], [13, 23, 16], [28, 20, 25], [27, 56, 47], [31, 54], [26, 30, 33], [34, 40, 39], [38, 42], [32, 35], [46, 60], [41, 36, 43, 61], [45, 48], [44, 50, 51], [55, 52, 59], [49, 57, 53], [63, 58], [62, 64, 69], [67, 71, 70], [76, 65, 66], [68, 72, 73], [74, 78, 75], [77, 79, 82], [83, 84, 81, 80], [87, 85], [86, 88]]
