0: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
1: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
2: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
3: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
4: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
5: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
6: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
7: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
8: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
9: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
10: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
11: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
12: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
13: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
14: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
15: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
16: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
17: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
18: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
19: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
20: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
21: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
22: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
23: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
24: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
25: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
26: [[10, 8, 7, 1, 2], [14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
27: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
28: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
29: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
30: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
31: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
32: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
33: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
34: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
35: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
36: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
37: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
38: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
39: [[10, 8, 7, 1], [2, 14, 3, 4, 6], [12, 13, 5, 11, 9], [15, 20, 19, 16, 18, 17]]
