0: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
1: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
2: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
3: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
4: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
5: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
6: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
7: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
8: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
9: [[6, 3, 5], [1, 10, 4], [13, 9, 2], [11, 7, 8, 12]]
10: [[6, 3, 5], [1, 10, 4], [13, 9, 2, 11], [7, 8, 12]]
11: [[6, 3, 5], [1, 10, 4], [13, 9, 2, 11], [7, 8, 12]]
12: [[6, 3, 5], [1, 10, 4], [13, 9, 2, 11], [7, 8, 12]]
13: [[6, 3, 5], [1, 10, 4], [13, 9, 2, 11], [7, 8, 12]]
14: [[6, 3, 5], [1, 10, 4], [13, 9, 2, 11], [7, 8, 12]]
15: [[6, 3, 5, 1], [10, 4, 13, 9, 2], [11, 7, 8, 12]]
16: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11, 7, 8, 12]]
17: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11, 7, 8, 12]]
18: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11], [7, 8, 12]]
19: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11], [7, 8, 12]]
20: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11], [7, 8, 12]]
21: [[6, 3, 5], [1, 10, 4, 13], [9, 2, 11], [7, 8, 12]]
22: [[6, 3, 5, 1], [10, 4, 13], [9, 2, 11], [7, 8, 12]]
23: [[6, 3, 5, 1], [10, 4, 13, 9, 2, 11], [7, 8, 12]]
24: [[6, 3, 5, 1], [10, 4, 13, 9, 2, 11], [7, 8, 12]]
25: [[6, 3, 5, 1], [10, 4, 13], [9, 2, 11], [7, 8, 12]]
