0: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
1: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
2: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
3: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
4: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14, 9], [8, 13], [15, 18, 16], [17, 22, 20, 19], [21, 23, 24]]
5: [[3], [1, 2], [11, 7, 10], [12, 14, 9, 4, 6, 5], [8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
6: [[3], [1, 2], [11, 7, 10], [12, 14], [9, 8, 13, 6, 5], [15, 18], [16, 17], [22, 20, 19, 4], [21, 23, 24]]
7: [[1, 2], [11, 7], [10, 12, 3], [14, 9, 6], [8, 13], [15, 18], [16, 17, 22, 4, 5], [20, 19], [21, 23, 24]]
8: [[5, 6], [1, 2], [11, 7], [10, 12, 4, 3], [14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19], [21, 23, 24]]
9: [[3], [1, 2], [11, 7, 10, 12, 14, 9, 6], [8, 13, 5], [15, 18], [16, 17, 22, 20, 19, 4], [21, 23, 24]]
10: [[3], [1, 2], [11, 7], [10, 12, 4, 5], [14, 9, 8, 13, 15, 6], [18, 16, 17, 22], [20, 19], [21, 23, 24]]
11: [[3], [1, 2], [11, 7, 10], [12, 14, 4, 5], [9, 8, 13, 6], [15, 18], [16, 17, 22], [20, 19], [21, 23, 24]]
12: [[3], [1, 2, 11], [7, 10], [12, 14, 4, 5], [9, 8, 13, 15, 6], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
13: [[4, 6, 5, 3], [1, 2, 11, 7, 10, 12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19], [21, 23, 24]]
14: [[3], [1, 2], [11, 7], [10, 12, 14], [9, 8], [13, 15, 18, 16, 6], [17, 22, 5], [20, 19, 4], [21, 23, 24]]
15: [[3, 6], [1, 2], [11, 7, 10], [12, 14, 4, 5], [9, 8], [13, 15, 18], [16, 17, 22], [20, 19], [21, 23, 24]]
16: [[1, 2], [11, 7], [10, 12], [14, 9, 6], [8, 13], [15, 18], [16, 17, 3], [22, 20, 4, 5], [19, 21], [23, 24]]
