0: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
1: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
2: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
3: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
4: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
5: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
6: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
7: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
8: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
9: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
10: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
11: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
12: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
13: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
14: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
15: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
16: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
17: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
18: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
19: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
20: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
21: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
22: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
23: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
24: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
25: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
26: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
27: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
28: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
29: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
30: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
31: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
32: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
33: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
34: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
35: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
36: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
37: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
38: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
39: [[1], [13, 4], [5, 7, 10, 9, 2], [8, 3, 11], [14, 15, 16, 6], [19, 20], [18, 17, 12]]
