0: [[10, 1, 4], [12, 13, 5, 7, 3, 2], [6, 11, 9, 8]]
1: [[10, 1, 4], [12, 13, 2, 5, 7, 3], [6, 11, 9, 8]]
2: [[10, 1, 4], [12, 13, 2, 5, 7, 3], [6, 11, 9, 8]]
3: [[10, 1, 4], [12, 13, 2, 5, 7, 3], [6, 11, 9, 8]]
4: [[10, 1, 4], [12, 13, 2], [5, 7, 3], [6, 11, 9, 8]]
5: [[10, 1, 4], [12, 13, 2], [5, 7, 3], [6, 11, 9, 8]]
6: [[10, 1, 4], [12, 13, 5, 2], [7, 3], [6, 11, 9, 8]]
7: [[10, 1, 4], [12, 13, 2, 5, 7], [3, 6, 11, 9, 8]]
8: [[10, 1, 4], [12, 13, 2, 5], [7, 3, 6, 11, 9, 8]]
9: [[10, 1, 4], [12, 13, 2, 5], [7, 3, 6, 11, 9, 8]]
10: [[10, 1, 4, 12], [13, 2, 5, 7, 3], [6, 11, 9, 8]]
11: [[10, 1, 4], [12, 13], [5, 7, 3, 2], [6, 11, 9, 8]]
12: [[10, 1, 12, 4], [13, 5, 2], [7, 3], [6, 11, 9, 8]]
13: [[10, 1, 4], [12, 13, 2, 5], [7, 3, 6], [11, 9, 8]]
14: [[10, 1, 4], [12, 13, 2], [5, 7, 3, 6], [11, 9, 8]]
15: [[10, 1, 4, 12, 13], [2, 5, 7, 3], [6, 11, 9, 8]]
16: [[10, 1, 4], [12, 13], [2, 5, 7, 3, 6, 11, 9, 8]]
17: [[10, 1, 4], [12, 13, 2, 5, 7, 3, 6, 11], [9, 8]]
18: [[10, 1, 4], [12, 13, 2, 5, 7, 3, 6, 11], [9, 8]]
19: [[10, 1, 12, 4], [13, 2], [5, 7, 3, 6], [11, 9, 8]]
20: [[10, 1, 4], [12, 13], [5, 7, 2], [3, 6, 11, 9, 8]]
21: [[10, 1], [4, 12, 13, 2, 5], [7, 3, 6, 11, 9, 8]]
22: [[10, 1], [4, 12, 13, 2], [5, 7, 3, 6, 11, 9, 8]]
23: [[10, 1, 4, 12], [13, 2, 5], [7, 3, 6, 11], [9, 8]]
24: [[10, 1], [4, 12, 13, 2], [5, 7, 3, 6, 11, 9, 8]]
25: [[10, 1, 4, 12], [13, 2, 5, 7], [3, 6, 11], [9, 8]]
26: [[10, 1, 12, 13, 2], [5, 7], [3, 6, 11], [9, 8, 4]]
27: [[10, 1, 4, 12, 13], [2, 5, 7, 3, 6, 11], [9, 8]]
