0: [[6, 8, 11], [1, 3, 5, 4, 10, 2], [7, 13, 9, 12]]
1: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
2: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
3: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
4: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
5: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
6: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
7: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
8: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
9: [[6, 8, 11], [2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
10: [[6, 8, 11, 2], [1, 3, 5, 4, 10], [7, 13, 9, 12]]
11: [[6, 8, 11, 2], [1, 3, 5, 4, 10], [7, 13, 9, 12]]
12: [[6, 8, 11, 2], [1, 3, 5, 4, 10], [7, 13, 9, 12]]
13: [[6, 8, 11, 2], [1, 3, 5, 4, 10], [7, 13, 9, 12]]
14: [[6, 8, 11], [2, 1, 3, 5, 4], [10, 7, 13, 9, 12]]
15: [[6, 8, 11, 2], [1, 3, 5, 4], [10, 7, 13, 9, 12]]
16: [[6, 8, 11], [2, 1, 3, 5], [4, 10, 7, 13, 9, 12]]
17: [[6, 8, 11, 2], [1, 3, 5, 4], [10, 7, 13, 9, 12]]
18: [[6, 8], [11, 2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
19: [[6, 8], [11, 2, 1, 3, 5, 4, 10], [7, 13, 9, 12]]
20: [[6, 8, 11, 2, 1, 3], [5, 4, 10], [7, 13, 9, 12]]
21: [[6, 8, 11, 2, 1], [3, 5, 4], [10, 7, 13, 9, 12]]
22: [[6, 8, 11, 2, 1], [3, 5, 4], [10, 7, 13, 9, 12]]
23: [[6, 8], [11, 2, 1, 3, 5, 4], [10, 7, 13, 9, 12]]
24: [[6, 8, 11], [2, 1, 3, 5, 4, 10, 7], [13, 9, 12]]
25: [[6, 8, 11], [2, 1, 3, 5, 4, 10, 7], [13, 9, 12]]
26: [[6, 8, 11], [2, 1, 3, 5, 4, 10, 7], [13, 9, 12]]
27: [[6, 8, 11, 2], [1, 3, 5, 4, 10, 7], [13, 9, 12]]
