0: [[22, 4], [19, 17, 20, 1], [2, 9, 5, 6], [14, 10, 12, 7, 11], [3, 13, 8, 15, 18, 16], [21, 23, 24]]
1: [[22, 4, 19], [17, 20, 1], [2, 9, 5, 6], [14, 10], [12, 7, 3, 16, 11], [13, 8], [15, 18], [21, 23, 24]]
2: [[22, 4, 19, 16], [17, 20, 9, 1, 2], [6, 14, 10, 12, 7, 3, 5, 11], [8, 15, 18, 13], [21, 23, 24]]
3: [[22], [4, 19], [17, 20, 2, 9, 1], [5, 6], [14, 10, 12, 7, 11], [3, 13, 16], [8, 15, 18], [21, 23, 24]]
4: [[22, 4, 19, 16], [17, 20, 2, 9, 5, 1], [6, 14, 10, 12, 7, 3, 13, 11], [8, 15, 18], [21, 23, 24]]
5: [[22, 4], [19, 17, 20, 1], [2, 9, 5], [6, 14, 10], [12, 7, 3, 16, 11], [13, 8, 15, 18], [21, 23, 24]]
6: [[22], [4, 19], [17, 20], [2, 9, 1], [5, 6], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15, 18], [21, 23, 24]]
7: [[22], [4, 19], [17, 20, 2, 1], [9, 5, 6], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15, 18], [21, 23, 24]]
8: [[22], [4, 19, 17], [20, 2, 9, 1], [5, 6, 14], [10, 12, 7, 11], [3, 13, 8, 16], [15, 18], [21, 23, 24]]
9: [[22, 4], [19, 17, 1], [20, 2], [9, 5], [6, 14, 10], [12, 7, 16, 11], [3, 13, 8, 15, 18], [21, 23, 24]]
10: [[22], [4, 19], [17, 20, 2, 9, 1], [5, 6, 14], [10, 12], [7, 3, 13, 16, 11], [8, 15, 18], [21, 23, 24]]
11: [[22, 4, 19, 17], [20, 2, 9, 5, 1], [6, 14], [10, 12, 7, 3, 16, 11], [13, 8], [15, 18], [21, 23, 24]]
12: [[22], [4, 19, 17, 1], [20, 2], [9, 5, 6, 14, 10], [12, 7, 3, 16, 11], [13, 8, 15, 18], [21, 23, 24]]
13: [[22], [4, 19, 17], [20, 2], [9, 5], [6, 14, 10], [12, 7, 11], [3, 13, 16, 1], [8, 15, 18], [21, 23, 24]]
14: [[22], [4, 19], [17, 20], [2, 9, 5, 6, 1], [14, 10], [12, 7, 3, 13, 16, 11], [8, 15, 18, 21], [23, 24]]
15: [[22, 4], [19, 17, 1], [20, 2], [9, 5, 6], [14, 10, 12], [7, 3, 16, 11], [13, 8], [15, 18, 21], [23, 24]]
16: [[22], [4, 19], [17, 20, 2, 1], [9, 5, 6], [14, 10, 12], [7, 3, 16, 11], [13, 8, 15], [18, 21], [23, 24]]
17: [[22, 4], [19, 17, 20], [2, 9, 5, 6, 1], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15], [18, 21], [23, 24]]
18: [[22], [19], [17, 20], [2, 9, 1], [5, 6, 4], [14, 10, 12], [7, 3, 16, 11], [13, 8], [15, 18, 21], [23, 24]]
19: [[22], [4, 19], [17, 20], [2, 9, 5, 6, 1], [14, 10], [12, 7, 3, 16, 11], [13, 8], [15, 18, 21], [23, 24]]
