0: [[9, 8, 15], [3, 17, 16], [6, 1, 13], [11, 7], [10, 20, 2, 14], [12, 18, 19], [4, 22, 5], [21, 24, 23]]
1: [[16], [8, 15], [3, 17, 13, 1, 19, 9], [6, 11, 7], [10, 20, 2, 14], [12, 18], [4, 5, 22], [21, 24, 23]]
2: [[8, 15], [3, 17, 16], [13, 1, 19], [6, 11, 9], [7, 10, 14], [20, 2], [12, 18], [4, 5, 22], [21, 24, 23]]
3: [[16], [8, 15], [3, 17], [13, 1, 6, 11, 9], [7, 10, 20, 14], [2, 12, 18, 19], [4, 5, 22], [21, 24, 23]]
4: [[16], [8, 15], [3, 17, 13, 1, 19], [6, 11, 9], [7, 10, 14], [20, 2, 12, 18], [4, 5, 22], [21, 24, 23]]
5: [[16], [8, 15], [3, 17, 9], [13, 1, 19], [6, 11, 7, 10, 14], [20, 2, 12, 18, 4, 5, 22], [21, 24, 23]]
6: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22], [21, 24, 23]]
7: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22], [21, 24, 23]]
8: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21, 24, 23]]
9: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21, 24, 23]]
10: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21, 24, 23]]
11: [[16], [8, 15], [3, 17], [13, 1, 6, 9], [11, 7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22], [21, 24, 23]]
12: [[9, 8], [15, 3, 17, 16], [13, 1, 6], [11, 7], [10, 20, 14], [2, 12], [18, 4, 19], [5, 22], [21, 24, 23]]
13: [[16, 8, 15], [3, 17, 13], [1, 6, 9], [11, 7], [10, 20, 14], [2, 12], [18, 4, 19], [5, 22], [21, 24, 23]]
14: [[19, 14], [9, 16, 8, 15, 3, 17, 13, 1, 6, 11, 7, 10, 20, 2, 12, 18, 4, 5, 22], [21, 24, 23]]
15: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21], [24, 23]]
16: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21], [24, 23]]
17: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 19], [22, 21], [24, 23]]
18: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 5, 19], [22, 21], [24, 23]]
19: [[9, 8], [15, 3, 16], [17, 13], [1, 6, 11], [7, 10, 20, 2, 14], [12, 18, 4, 19], [5, 22], [21, 24, 23]]
20: [[8], [15, 3, 16], [17, 13], [1, 6, 9], [11, 7], [10, 20, 14], [2, 12], [18, 4, 19], [5, 22], [21, 24, 23]]
21: [[16, 8], [15, 3, 17], [13, 1, 9], [6, 11, 7], [10, 20, 14], [2, 12, 18], [4, 5, 19], [22, 21], [24, 23]]
