0: [[5, 2, 9, 3, 4, 6, 13, 1], [11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
1: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
2: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
3: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
4: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
5: [[5, 2, 9, 1, 3, 4, 6], [13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
6: [[5, 2, 9, 1, 3, 4, 6], [13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
7: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
8: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
9: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
10: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
11: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7], [14, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
12: [[5, 2, 9, 1, 3, 6, 13, 4], [11, 10, 7, 14], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
13: [[5, 2, 9, 1, 3, 6, 13, 4], [11, 10, 7, 14], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
14: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
15: [[5, 2, 9, 1, 3, 4, 6], [13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
16: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
17: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
18: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
19: [[5, 2, 9, 1, 3, 6, 13, 4], [11, 10, 7, 14, 8], [15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
20: [[5, 2, 9, 1, 3, 6, 13, 4], [11, 10, 7, 14, 8], [15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
21: [[5, 2, 9, 1, 3, 6, 13, 4], [11, 10, 7, 14, 8], [15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
22: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8, 15, 16, 19, 12], [18, 20, 22, 17], [21, 23, 24]]
23: [[5, 2, 9, 1, 3, 4, 6, 13], [11, 10, 7, 14, 8, 15, 16, 19, 12], [18, 20, 22, 17], [21, 23, 24]]
24: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
25: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
26: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
27: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
28: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
29: [[5, 2, 9, 1, 3, 6, 13, 11, 4], [10, 7, 14], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
30: [[5, 2, 9, 1, 3, 6, 13, 11, 4], [10, 7, 14], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
31: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
32: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
33: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
34: [[5, 2, 9, 1], [3, 4, 6, 13, 11, 10, 7], [14, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
35: [[5, 2, 9, 1], [3, 6, 13, 11, 10, 7, 14, 4], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
36: [[5, 2, 9, 1, 3, 6, 4], [13, 11, 10, 7], [14, 8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
37: [[5, 2, 9, 1, 3, 4, 6, 13, 11], [10, 7, 14, 8, 12], [15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
38: [[5, 2, 9], [1, 3, 4, 6, 13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
39: [[5, 2, 9], [1, 3, 4, 6, 13, 11, 10, 7, 14], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
40: [[5, 2, 9, 1, 3], [4, 6, 13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
41: [[5, 2, 9, 1, 3], [4, 6, 13, 11, 10, 7, 14, 8], [15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
