0: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
1: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 12, 11, 9], [16, 6, 15], [19, 18, 17, 20]]
2: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 12, 11, 9], [16, 6, 15], [17, 18, 19, 20]]
3: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
4: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
5: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 12, 11, 9], [16, 6, 15], [19, 18, 17, 20]]
6: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
7: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 12], [11, 9], [16, 6, 15], [17, 18, 19, 20]]
8: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 11, 12], [16, 9, 6, 15], [17, 18, 19, 20]]
9: [[1, 3], [14, 4], [7, 5, 2], [10, 8], [13, 12, 9], [11, 16, 6], [17, 18, 19, 20, 15]]
10: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 12], [11, 9], [16, 17, 18, 19, 20, 6, 15]]
11: [[1, 3], [14, 4], [7, 5, 2, 10], [8, 13, 12, 9], [11, 16, 6, 15], [17, 18, 19, 20]]
12: [[1, 3], [14, 4], [7, 2], [5, 10, 8], [13, 12, 11, 9], [16, 6, 15], [18, 17], [20, 19]]
13: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 12, 11, 9], [17, 6, 15], [16, 19, 18, 20]]
14: [[1, 3], [14, 4], [7, 5, 2, 10, 8], [13, 9, 6], [16, 11, 12, 17, 15], [18, 19, 20]]
15: [[1, 3], [14, 7, 5, 4], [2, 10, 8], [13, 11, 12, 9], [17, 15, 16, 19, 18, 20, 6]]
16: [[1, 3], [14, 4], [7, 5], [2, 10, 8, 13], [12, 11, 9], [16, 17, 6, 15], [18, 19, 20]]
17: [[1, 3], [14, 4], [7, 5], [2, 10], [8, 13, 12], [11, 9], [16, 6, 15], [17, 18, 19, 20]]
18: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 11, 9], [12, 16, 6, 15], [17], [18, 19, 20]]
19: [[1, 3], [14, 4], [7, 5, 2], [10, 8, 13], [12, 11, 9], [16, 6], [17, 18, 15], [19, 20]]
20: [[1, 3], [14, 4], [7, 5, 2, 10], [8, 13, 6], [11, 9], [16, 12, 15], [17, 19, 18, 20]]
21: [[1, 3], [14, 7, 4, 6], [5, 2, 10], [8, 13, 12], [11, 9], [16, 19, 15], [18, 17, 20]]
22: [[1, 3], [14, 7, 4, 6], [5, 2, 10, 8], [13, 12, 11, 16, 15, 17, 18, 19, 20, 9]]
23: [[1, 3, 14, 4], [7, 5, 2, 10], [8, 13, 9], [11, 16, 6], [12, 15], [17, 18, 19, 20]]
24: [[1, 3], [14, 4], [7, 5], [2, 10, 8], [13, 12, 11, 19], [9, 6, 15], [16, 18, 17, 20]]
25: [[1, 3, 14], [7, 5, 2, 6], [10, 8], [13, 12], [11, 9], [16, 17, 19, 4, 15], [18, 20]]
26: [[1, 3], [14, 4], [7, 5], [2, 10, 8, 13, 12], [11, 9], [19, 16, 18, 17, 20, 6, 15]]
27: [[1, 3], [14, 7, 6], [5, 2, 4], [10, 8, 13, 11, 9], [12, 16, 15], [18, 19], [17, 20]]
28: [[1, 3], [14, 4], [7, 5, 2], [10, 8], [13, 6], [11, 16, 9], [12, 19, 18, 15], [17, 20]]
29: [[1, 3], [14, 4], [7, 5], [2, 10], [8, 13, 11, 9], [12, 16, 6, 15], [17, 18], [19, 20]]
30: [[1, 3], [14, 7, 5, 4], [2, 10, 8], [13, 11, 9], [12, 16, 15], [17, 19, 6], [18, 20]]
31: [[1, 3, 14], [5, 2, 7, 4], [10, 8], [13, 12], [11, 16, 19, 17, 9, 6, 15], [18, 20]]
32: [[1, 3], [14, 7, 5, 4], [2, 10, 8], [13, 6], [11, 16, 9], [12, 19, 17, 15], [18, 20]]
33: [[1, 3], [14, 4], [7, 5, 2], [10, 8, 13, 11], [12, 16, 9], [15, 17, 18, 19, 20, 6]]
34: [[1, 3], [14, 4], [7, 5, 2], [10, 8, 13, 11], [12, 16, 15, 19, 18, 17, 9, 6], [20]]
35: [[1, 3, 14, 4], [7, 5, 2], [10, 8, 13, 11], [15, 16, 12, 19, 18, 17, 20, 9, 6]]
36: [[1, 3], [14, 7, 4, 6], [5, 2], [10, 8, 13], [11, 9, 15], [16, 12], [17, 18], [19, 20]]
37: [[1, 3], [14], [5, 2], [10, 8, 6], [13, 12, 7, 9], [17, 11, 19], [18], [16, 20, 4, 15]]
38: [[1, 3, 14], [7, 5, 4], [2, 10, 8, 13], [11, 15, 16, 12, 17, 18, 19, 20, 9, 6]]
39: [[1, 3, 14], [7, 5, 4], [2, 10, 8, 13], [11, 16, 9], [12, 6, 15], [17, 18], [19, 20]]
40: [[1, 3], [14, 4, 7, 5, 2, 10, 8, 13, 6, 11, 12, 16, 9, 15, 17, 18], [19, 20]]
41: [[1, 3], [14, 7, 2, 5], [4, 10, 8, 13, 12, 11, 19, 15, 16, 17, 9, 6, 18, 20]]
