0: [[9, 1, 20, 13, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
1: [[9, 20, 13, 1, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
2: [[9, 1], [12, 20], [22, 4], [7, 11], [6, 5, 13], [14, 10, 2], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
3: [[13, 1], [12, 22, 4], [7, 11], [6, 5, 9], [14, 10], [2, 8, 15], [17, 19, 20], [16, 3, 18], [21, 23, 24]]
4: [[9], [12, 22, 4], [7, 11], [6, 5, 14, 13], [10, 2, 1, 20], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
5: [[9, 1], [20, 13, 12], [22, 4], [7, 11, 6], [5, 14], [10, 2], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
6: [[13, 12, 1, 20], [22, 4], [7, 11], [6, 5, 9], [14, 10, 2], [8, 15], [17, 19], [16, 3, 18, 21], [23, 24]]
7: [[13, 12], [22, 4], [7, 11], [6, 5, 14, 9], [10, 2, 8, 15, 20], [17, 19, 16, 1], [3, 18], [21, 23, 24]]
8: [[13, 12], [22, 4], [7, 11, 6], [5, 14], [10, 2, 20], [8, 15, 9], [17, 19, 16, 1], [3, 18], [21, 23, 24]]
9: [[9, 20, 1], [13, 12], [22, 4], [7, 11, 6, 5, 14, 10, 2, 8, 15, 17, 19, 16], [3, 18], [21, 23, 24]]
10: [[13], [12, 22], [4, 7, 11, 6], [5, 14], [10, 2, 20], [8, 15], [17, 19, 9, 1], [16, 3, 18], [21, 23, 24]]
11: [[12, 22, 20, 13], [4, 7, 11, 6], [5, 14], [10, 2], [8, 15], [17, 19, 9, 1], [16, 3], [18], [21, 23, 24]]
12: [[13, 12], [22, 4, 7], [11, 6, 9, 1], [5, 14, 10, 2], [8, 15, 20], [17, 19, 16], [3, 18], [21, 23, 24]]
13: [[13], [12, 22], [4, 7, 11], [6, 5, 14], [10, 2, 8, 1, 20], [15, 17, 19, 9], [16, 3, 18], [21, 23, 24]]
14: [[13, 1], [12, 22, 4], [7, 11], [6, 5, 9], [14, 10, 2, 8, 15, 20], [17, 19, 16, 3, 18, 21], [23, 24]]
15: [[9, 1], [12, 22, 4], [7, 11], [6, 5, 13], [14, 10, 2], [8, 15, 17, 19, 20], [16, 3], [18, 21, 23, 24]]
16: [[12, 22, 20, 13], [4, 7], [11, 6], [5, 14], [10, 2], [8, 15], [17, 19, 9, 1], [16, 3, 18], [21, 23, 24]]
