0: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
1: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [8, 4, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
2: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
3: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
4: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [8, 4, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
5: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
6: [[3, 7, 20, 10], [1, 11, 15, 13], [25, 5, 6], [12, 8, 14, 4], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
7: [[3, 7, 20, 10], [1, 11, 15, 13], [25, 5, 6], [4, 8, 12, 14], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
8: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 9, 13, 12], [2, 17, 8, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
9: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 9, 13, 12], [2, 17, 8, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
10: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
11: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 12, 13], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
12: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
13: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
14: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 12, 13], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
15: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
16: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 12, 13], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
