0: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
1: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
2: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
3: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
4: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
5: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
6: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
7: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
8: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
9: [[3, 5, 12, 1, 2], [10, 4], [6, 7, 9, 11, 13, 8]]
10: [[3, 5, 12, 1, 2, 10], [4, 6], [7, 9, 11, 13, 8]]
11: [[3, 5, 12, 1, 2, 10], [4, 6], [7, 9, 11, 13, 8]]
12: [[3, 5, 12, 1, 2, 10], [4, 6], [7, 9, 11, 13, 8]]
13: [[3, 5, 12, 1, 2, 10], [4, 6], [7, 9, 11, 13, 8]]
14: [[3, 5, 12, 1, 2, 10], [4, 6], [7, 9, 11, 13, 8]]
15: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
16: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
17: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
18: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
19: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
20: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
21: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
22: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
23: [[3, 5, 12, 1], [2, 10], [4, 6, 7, 9, 11, 13, 8]]
24: [[3, 5, 12], [1, 2], [10, 4, 6, 7, 9, 11, 13, 8]]
25: [[3, 5, 12], [1, 2], [10, 4, 6, 7, 9, 11, 13, 8]]
26: [[3, 5, 12, 1, 2, 10, 4], [6, 7], [9, 11, 13, 8]]
27: [[3, 5, 12, 1, 2, 10, 4], [6, 7], [9, 11, 13, 8]]
