0: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
1: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
2: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
3: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
4: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
5: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
6: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
7: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
8: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
9: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
10: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
11: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
12: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
13: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
14: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
15: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
16: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
17: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
18: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
19: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
