0: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
1: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
2: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
3: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
4: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
5: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
6: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
7: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
8: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
9: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
10: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
11: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
12: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
13: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
14: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
15: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
16: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
17: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
18: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
19: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
20: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
21: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
22: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
23: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
24: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
25: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
26: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
27: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
28: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
29: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
30: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
31: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
32: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
33: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
34: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
35: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
36: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
37: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
38: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
39: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
40: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
41: [[11, 1, 3], [5, 13, 4], [2, 8, 10], [14, 7, 6], [16, 12, 17, 15, 9], [18, 19, 20]]
