0: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 25], [16, 11, 8, 24, 13, 18, 19, 22, 10, 12, 14], [23, 28], [21, 27, 26, 29]]
1: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 25], [16, 11, 8, 24, 13, 18, 19, 22, 10, 12, 14], [23, 28], [21, 27, 26, 29]]
2: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 25], [24, 11, 28, 8, 23, 18, 16, 13, 22, 10, 14], [19, 12], [21, 29, 26, 27]]
3: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 25], [16, 11, 8, 24, 13, 18, 22, 19, 10, 12, 14], [23, 28, 21, 27, 26, 29]]
4: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 13], [24, 19, 8, 11, 29, 16, 18, 22, 10, 12, 14], [23, 28], [21, 27, 26, 25]]
5: [[7, 2], [6, 17, 1, 15, 9, 20, 3], [4, 5, 25], [16, 11, 8, 24, 13, 18, 19, 22, 10, 12, 14], [23, 28], [21, 27, 26, 29]]
6: [[7, 2, 6, 17, 1, 15], [9, 20, 3, 4], [5, 28, 24, 11, 8, 10], [13, 14], [18, 16, 19, 23, 25, 22, 12], [21, 27, 26, 29]]
7: [[7, 2, 6], [17, 1], [15, 9, 20, 3, 5, 4, 25, 11, 8, 10], [28], [13, 19, 16, 18, 23, 24, 22, 12, 14], [21, 27, 26, 29]]
8: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 5], [4, 24, 12], [16, 8, 18, 11, 13, 19, 23, 25, 22, 10], [28, 14], [21, 26, 27, 29]]
9: [[7, 2], [6, 17, 1], [15, 9, 20, 3, 4, 5, 25], [8, 11, 28, 13, 18, 16, 24, 10, 12, 14], [23, 19, 22], [21, 29, 26, 27]]
10: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 5, 4, 25, 8], [11], [28, 13, 10], [19, 24, 16, 23, 18, 22, 12, 14], [21, 27, 26, 29]]
11: [[7, 2, 6, 17, 1, 15, 9, 20], [3, 4, 5, 25], [16, 8, 24, 13, 18, 19, 23, 11, 10, 12, 14], [22, 28], [21, 27, 26, 29]]
12: [[7, 2, 6, 17, 1, 15], [9, 20, 3, 22], [5, 4], [28, 16, 8, 11, 24, 19, 18, 13, 10, 12, 14], [23, 25], [21, 27, 26, 29]]
13: [[7, 2], [6, 17, 1], [15, 9, 20, 3, 4, 5, 28, 10], [8, 11, 13, 16, 18, 25, 24, 14, 12], [23, 19, 22], [21, 29, 26, 27]]
14: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 8], [24, 11], [13, 16, 18, 19, 28, 23, 25, 22, 10, 12, 14], [21, 26, 27, 29]]
15: [[7, 2, 6, 17, 1, 15, 9, 20], [3, 4], [5, 11, 16], [19, 8, 25, 13, 10, 12, 14], [18, 24, 23, 28, 22], [21, 27, 26, 29]]
16: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5], [29, 24, 11, 8], [13, 18, 19, 16, 22, 10, 12, 14], [23, 28], [21, 27, 26, 25]]
17: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [13, 5], [24, 11, 8, 29, 18, 16, 28, 23, 10, 12, 14], [19, 22], [21, 25, 26, 27]]
