0: [[10, 13, 4, 1, 2], [3, 5], [7, 6, 8, 9, 11, 12]]
1: [[10, 13, 4, 1, 2], [5, 3], [7, 6, 8, 9, 11, 12]]
2: [[10, 13, 4, 1, 2], [5, 3], [7, 6, 8, 9, 11, 12]]
3: [[10, 13, 4, 1, 2], [3, 5], [7, 6, 8, 9, 11, 12]]
4: [[10, 13, 4, 1, 2], [3, 5], [7, 6, 8, 9, 11, 12]]
5: [[10, 13, 4, 1, 2], [3, 5, 7], [6, 8, 9, 11, 12]]
6: [[10, 13, 4], [1, 2], [3, 5], [7, 6, 8, 9, 11, 12]]
7: [[10, 13, 4, 1, 2], [3, 5, 7], [6, 8, 9, 11, 12]]
8: [[10, 13, 4], [1, 2], [3, 5], [7, 6, 8, 9, 11], [12]]
9: [[10, 13], [1, 4, 2], [3, 5], [7, 6, 8, 9, 11, 12]]
10: [[10, 13], [4, 1, 3, 5, 2], [6, 8, 9, 11, 7], [12]]
11: [[10], [13, 1, 4, 2], [3, 5, 7], [6, 8, 9, 11, 12]]
12: [[10, 13, 4], [1, 2], [5, 7, 3], [6, 8, 9, 11, 12]]
13: [[10, 13, 4, 1], [3, 5, 6, 8, 9, 2], [11], [12, 7]]
14: [[10], [13, 4, 1, 3, 2], [5, 7, 6, 8, 9, 11], [12]]
15: [[10, 13, 4, 1, 2, 3], [5, 7], [6, 8, 9, 11, 12]]
16: [[10, 13, 4, 1, 2], [3, 5, 7, 6], [8, 9, 11, 12]]
17: [[10, 13], [4, 1, 2, 3, 5, 7], [6, 8, 9, 11, 12]]
18: [[10, 13, 4, 1], [3, 2, 7], [5, 6, 8, 9, 11], [12]]
19: [[10, 13], [1, 4], [5, 7, 2, 3], [6, 8], [9, 11], [12]]
20: [[10], [13, 4, 1, 2], [3, 5, 7, 6, 8, 9, 11], [12]]
21: [[10, 13, 4], [1, 2], [3, 5, 6, 8, 9], [11, 12, 7]]
22: [[10], [13, 4, 1, 2, 3, 5, 7, 6], [8, 9, 11, 12]]
23: [[10, 13, 4, 1, 2, 3], [5, 7, 6, 8, 9], [11, 12]]
24: [[10, 13], [4, 1], [2, 3], [5, 7, 6, 8, 9, 11, 12]]
25: [[10, 13], [4, 1], [2, 3], [5, 7, 6, 8, 9, 11], [12]]
26: [[10, 13], [4, 1], [2, 3, 5, 7, 6], [8], [9, 11, 12]]
27: [[10, 13], [1, 3, 5, 4, 2], [7, 6], [8, 9, 11, 12]]
