0: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
1: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
2: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
3: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
4: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
5: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
6: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
7: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
8: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
9: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
10: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
11: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
12: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
13: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
14: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
15: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
16: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
