0: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
1: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
2: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
3: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
4: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
5: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
6: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
7: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
8: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
9: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
10: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
11: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
12: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
13: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
14: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
15: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
16: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
17: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
18: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
19: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
20: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
21: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
22: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
23: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
24: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
25: [[2, 1], [12, 7, 13], [11, 8, 6], [10, 5, 3], [4, 9]]
