0: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 4], [21, 23, 24]]
1: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 4], [21, 23, 24]]
2: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 4], [21, 23, 24]]
3: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 4], [21, 23, 24]]
4: [[6, 9, 13], [19, 1, 4, 2], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
5: [[6, 9, 13], [19, 1, 4, 2], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
6: [[9, 13, 6], [4, 2, 19, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
7: [[9, 13, 6], [4, 2, 19, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
8: [[9, 6], [13, 19, 1, 4], [2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
9: [[9, 6, 13], [19, 4, 2, 10, 3, 1], [7, 11], [12, 5], [8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
10: [[9, 6, 13, 1], [19], [4, 2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
11: [[9, 6, 13, 1], [19], [4, 2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
12: [[9, 6, 13, 1], [19], [4, 2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
13: [[9, 6, 13, 1], [19], [4, 2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
14: [[13, 19, 4, 2, 10, 3, 6, 1], [7, 11], [12, 5, 8, 14, 15], [20, 17, 22, 9], [16, 18], [21, 23, 24]]
15: [[6, 9, 13], [19, 1, 4, 2, 10, 3], [7, 11], [12, 5], [8, 14], [15, 20, 17, 22, 16, 18], [21, 23, 24]]
16: [[9, 13, 6], [4, 2, 19, 1], [10, 3, 7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
17: [[9, 13, 6], [4, 2, 19, 1], [10, 3, 7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
18: [[9, 13, 6], [4, 2, 19, 1], [10, 3], [7, 11, 12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
19: [[9], [1, 4, 2, 13, 19], [10, 3, 7, 11, 6], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
20: [[9], [13], [4, 2, 19, 1], [10, 3, 6], [7, 11, 12, 5, 8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
21: [[13, 1, 4, 2, 6], [10, 3], [7, 11, 12, 5, 8, 14, 15, 20], [17, 22, 9, 19], [16, 18], [21, 23, 24]]
22: [[9], [1, 4, 2, 19], [10, 3, 7, 6], [11, 12, 13], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
23: [[9], [1, 4, 2, 19], [10, 3, 7, 6], [11, 12, 13], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
24: [[9, 13, 6, 1], [4, 2], [10, 3], [7, 11, 12, 5, 8, 14, 15], [20, 17, 22, 19], [16, 18], [21, 23, 24]]
25: [[9], [1, 4, 13, 19], [2, 10, 3, 7, 11, 12, 5, 6], [8, 14, 15, 20, 17], [22, 16, 18], [21, 23, 24]]
26: [[9], [19, 4, 2, 10, 1], [3, 7, 6], [11, 12, 13], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
27: [[9], [1, 4, 19], [2, 10, 3, 7, 6], [11, 12, 13], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
28: [[9], [1, 4, 2, 10, 3, 7, 11, 6], [12, 5, 13], [8, 14, 15, 20, 17, 19], [22, 16, 18], [21, 23, 24]]
29: [[9], [1, 4, 19], [2, 10, 3, 7, 6], [11, 12, 13], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
30: [[13], [1, 4, 2, 10, 19], [3, 7, 6], [11, 12, 5, 8, 14, 15, 20], [17, 22, 9], [16, 18], [21, 23, 24]]
31: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 21, 4], [23, 24]]
32: [[9, 13, 19, 2, 10, 1], [3, 7, 6], [11, 12, 5, 8], [14, 15, 4], [20, 17], [22, 16, 18], [21, 23, 24]]
33: [[19, 1, 4, 2, 10], [3, 7, 6], [11, 12, 13], [5, 8, 9], [14, 15, 20, 17, 22, 16, 18], [21, 23, 24]]
34: [[9, 13, 4, 2, 6, 1], [10, 3], [7, 11, 12, 5, 8, 14], [15, 20], [17, 22, 19], [16, 18], [21, 23, 24]]
35: [[9, 13, 4, 2, 6, 1], [10, 3], [7, 11, 12, 5, 8], [14, 15], [20, 17, 19], [22, 16, 18], [21, 23, 24]]
36: [[19, 1, 4, 2, 10, 3, 7], [11, 12, 13], [5, 8, 14, 15, 20, 6], [17, 22, 9], [16, 18], [21, 23, 24]]
37: [[9, 13, 19, 2, 6, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 4], [18, 21], [23, 24]]
38: [[9, 13, 19, 2, 6, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 4], [18, 21], [23, 24]]
