0: [[2, 22], [5, 9, 10, 6, 14, 4], [7, 12, 11], [13, 8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
1: [[2, 22], [9, 10, 6, 14, 4], [7, 12, 11], [8, 15, 5, 13], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
2: [[2], [22, 5, 4], [9, 10, 6], [14, 7, 12], [11, 13, 8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
3: [[2], [22, 5, 4], [9, 10, 6], [14, 7, 12], [11, 13, 8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
4: [[2], [22, 5, 9, 4], [10, 6, 14, 7], [12, 11, 13, 8], [15, 16, 18, 17, 3], [19, 20, 1], [23, 21, 24]]
5: [[2], [22, 5, 9, 10, 4], [6, 14], [7, 12, 11, 13], [8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
6: [[2], [22], [5, 9, 10, 6, 14, 4], [7, 12], [11, 13, 1], [8, 15], [16, 18, 3], [17, 19, 20], [23, 21, 24]]
7: [[2, 22, 5, 4, 1], [9, 10, 6, 14, 3], [7, 12, 11], [13, 8], [15, 16, 18, 17, 19], [20], [23, 21, 24]]
8: [[2], [22, 5, 9, 4], [10, 6, 14, 7, 12], [11, 13, 8, 15, 16], [18, 17, 3], [19, 20, 1], [23, 21, 24]]
9: [[2], [22, 5, 9, 4], [10, 6, 14, 7, 12], [11, 13, 8, 15, 16], [18, 17, 3], [19, 20, 1], [23, 21, 24]]
10: [[2, 4], [22], [5, 9], [10, 6, 14, 7], [12, 11, 13], [8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
11: [[2], [22, 5, 9, 4], [10, 6, 14, 7], [12, 11], [13, 8, 15, 16], [18, 17, 3], [19, 20, 1], [23, 21, 24]]
12: [[2, 4, 1, 22], [3, 5, 9, 10], [6, 14, 7, 12, 11], [13, 8], [15, 16, 18], [17, 19, 20], [23, 21, 24]]
13: [[2], [22], [5, 9, 10, 4, 1], [6, 14, 7, 12, 11], [13, 8, 15], [16, 18, 17, 19, 20, 3], [23, 21, 24]]
14: [[2], [22, 5, 9, 10, 6, 14, 7, 12, 11], [13, 8, 15, 16, 3], [18, 17], [19, 20, 4, 1], [23, 21, 24]]
15: [[2], [22, 5], [9, 10, 6, 3], [14, 7, 12], [11, 13, 8], [15, 16, 18, 4], [17, 19, 20, 1], [23, 21, 24]]
16: [[2], [22, 5], [9, 10, 6, 4, 3], [14, 7, 12], [11, 13, 8], [15, 16, 18, 17], [19, 20, 1], [23, 21, 24]]
17: [[2], [22], [5, 9], [10, 6, 4, 3], [14, 7, 12], [11, 13, 8], [15, 16, 18], [17, 19, 20, 1], [23, 21, 24]]
18: [[2], [22], [5, 9, 10, 4, 3], [6, 14, 7], [12, 11, 13, 8], [15, 16, 18, 17], [19, 20, 1], [23, 21, 24]]
19: [[2, 22], [5], [9, 10, 6, 4, 1, 3], [14, 7], [12, 11, 13], [8, 15, 16], [18, 17, 19, 20], [23, 21, 24]]
20: [[2], [22], [5, 9, 10, 4, 3], [6, 14, 7], [12, 11, 13, 1], [8, 15, 16], [18, 17, 19, 20], [23, 21, 24]]
21: [[2], [22, 5, 9, 4], [10, 6, 3], [14, 7, 12, 11, 13], [8, 15], [16, 18], [17, 19, 20, 1], [23, 21], [24]]
22: [[2, 22, 1], [5, 9, 10, 4], [6, 14], [7, 12, 11], [13, 8, 15], [16, 18, 17, 19, 3], [20, 23, 21, 24]]
23: [[2, 1], [22], [5, 9], [10, 6, 4, 3], [14, 7], [12, 11], [13, 8, 15], [16, 18, 17, 19], [20, 23, 21, 24]]
24: [[2], [22], [5, 9], [10, 6, 4, 3], [14, 7], [12, 11, 13, 1], [8, 15], [16, 18, 17, 19], [20, 23, 21, 24]]
25: [[2, 22, 1], [5, 9, 10, 6, 14], [7, 12], [11, 13, 8], [15, 16, 4, 3], [18, 17, 19], [20, 23, 21, 24]]
26: [[2, 22, 1], [5, 9, 10, 6, 14], [7, 12], [11, 13, 8], [15, 16, 4, 3], [18, 17, 19], [20, 23, 21, 24]]
27: [[2, 22, 4, 1], [5], [9, 10, 6, 14, 7], [12, 11, 13], [8, 15, 16, 18, 17, 3], [19, 20, 23, 21, 24]]
28: [[2], [22, 5, 9, 10, 4], [6, 14, 7, 12], [11, 13, 8, 15], [16, 18, 3], [17, 19, 1], [20, 23], [21, 24]]
29: [[2, 4, 1, 22], [3, 5, 9, 10], [6, 14, 7, 12, 11], [13, 8, 15, 16, 18], [17, 19], [20, 23], [21, 24]]
30: [[2], [22, 5, 9, 4, 3], [10, 6, 14, 7], [12, 11], [13, 8, 15, 16, 18], [17, 19, 1], [20, 23], [21, 24]]
31: [[2], [22], [5, 9], [10, 6, 14], [7, 12], [11, 13, 8, 15], [16, 18, 17, 3], [19, 20, 23, 4, 1], [21, 24]]
32: [[2, 22], [5], [9, 10], [6, 14, 7], [12, 11, 13, 1], [8, 15, 16, 4, 3], [18, 17, 19], [20, 23, 21, 24]]
33: [[2], [22], [5, 9], [10, 6, 14, 7, 4, 3], [12, 11], [13, 8, 15, 16, 18], [17, 19, 1], [20, 23], [21, 24]]
34: [[2], [22], [5, 9, 10, 4, 1, 3], [6, 14, 7, 12, 11], [13, 8, 15, 16], [18, 17], [19, 20, 23], [21, 24]]
35: [[2], [22], [5], [9, 10], [6, 14, 7, 4], [12, 11, 13, 1], [8, 15, 16, 18, 3], [17, 19], [20, 23], [21, 24]]
36: [[2, 4], [22, 3, 5, 9, 10, 6, 14, 7, 12, 11, 13, 8, 1], [15, 16, 18, 17], [19, 20, 23, 21, 24]]
37: [[2, 4, 1, 22], [3, 5, 9, 10], [6, 14], [7, 12, 11], [13, 8, 15], [16, 18, 17, 19], [20, 23, 21], [24]]
38: [[2, 1], [22, 5, 9, 4, 3], [10, 6, 14, 7], [12, 11], [13, 8, 15], [16, 18, 17, 19, 20, 23, 21, 24]]
