0: [[10, 5, 7, 2], [8, 3, 9, 11, 1, 12, 13], [4, 16, 6, 14], [17, 15, 20, 18, 19]]
1: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
2: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
3: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
4: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
5: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
6: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
7: [[10, 5, 7, 6, 2, 8], [3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
8: [[10, 5, 7, 6, 2], [8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
9: [[10, 5, 7, 6, 2], [8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
10: [[10, 5, 7, 6, 2], [8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
11: [[10, 5, 7, 6, 2], [8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
12: [[10, 5, 7, 6, 2], [8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
13: [[10, 5, 7, 2, 8, 6], [3, 11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
14: [[10, 5, 7, 2, 8, 6], [3, 11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
15: [[10, 5, 7, 2, 8, 6], [3, 11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
16: [[10, 5, 7, 2, 6], [8, 3, 11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
17: [[10, 5, 7, 6], [2, 8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
18: [[10, 5, 7, 6], [2, 8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
19: [[10, 5, 7, 6], [2, 8, 3, 11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
20: [[10, 7, 5, 6], [2, 8], [3, 9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
21: [[10, 7, 5, 6], [2, 8], [3, 9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
22: [[10, 5, 7, 6, 2], [8, 3], [9, 11, 14, 1, 12], [13, 4, 16, 17, 15, 20, 18, 19]]
23: [[10, 5, 7, 2, 8, 6], [3, 9], [11, 14, 1, 12, 13, 4], [16, 17, 15, 20, 18, 19]]
24: [[10, 5, 7, 2, 8, 6], [3, 9], [11, 14, 1, 12, 13, 4], [16, 17, 15, 20, 18, 19]]
25: [[10, 5, 7, 2, 8, 6], [3, 9], [11, 14, 1, 12, 13, 4], [16, 17, 15, 20, 18, 19]]
26: [[10, 5, 7, 2, 8, 3, 6, 9], [11, 14, 1, 12], [13, 4], [16, 17, 15, 20, 18, 19]]
27: [[10, 5, 7, 2, 8, 3, 6], [11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
28: [[10, 5, 7, 2, 8, 3, 6], [11, 14, 1, 12, 9], [13, 4], [16, 17, 15, 20, 18, 19]]
29: [[10, 5, 7, 6, 2, 8, 3], [11, 14, 1, 9], [12, 13], [16, 17, 15, 20, 18, 19, 4]]
30: [[10, 5], [7, 6, 2, 8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
31: [[10, 5], [7, 6, 2, 8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
32: [[10, 5], [7, 6, 2, 8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
33: [[10, 5], [7, 6, 2, 8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
34: [[10, 5], [7, 6, 2, 8, 3], [9, 11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
35: [[10, 5], [7, 2, 8, 3, 6, 9], [11, 14, 1, 12, 13, 4], [16, 17, 15, 20, 18, 19]]
36: [[10, 5], [7, 2, 8, 3, 6, 9], [11, 14, 1, 12, 13, 4], [16, 17, 15, 20, 18, 19]]
37: [[10, 5, 7, 8, 3, 6, 2], [9, 11], [14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
38: [[10, 5, 2], [7, 8, 3, 9, 6], [11, 14, 1, 12, 13], [4, 16, 17, 15, 20, 18, 19]]
39: [[10, 5], [7, 2, 8, 3, 11, 6, 9], [14, 1, 12, 13, 4, 16], [17, 15, 20, 18, 19]]
40: [[10, 5, 7, 6, 8, 2], [9, 11, 14, 3], [1, 12], [13, 4, 16, 17, 15, 20, 18, 19]]
41: [[10, 5, 7, 6, 2], [8, 9, 11, 14, 3], [1, 12], [13, 4, 16, 17, 15, 20, 18, 19]]
