0: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
1: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
2: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
3: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
4: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
5: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
6: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
7: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
8: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
9: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
10: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
11: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
12: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
13: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
14: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
15: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
16: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
17: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
18: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
19: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
20: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
21: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
22: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
23: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
24: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
25: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
26: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
27: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
28: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
29: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
30: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
31: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
32: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
33: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
34: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
35: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
36: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
37: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
38: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
39: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
40: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
41: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
42: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
43: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
44: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
45: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
46: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
47: [[7, 18, 3], [8, 13, 19], [17, 9, 5], [1, 4, 15], [2, 12, 20], [11, 6, 16], [10, 22, 14], [21, 23, 24]]
