0: [[16, 3, 6], [2, 9, 1, 13], [12, 14, 4, 11, 10, 5, 7], [8, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
1: [[16, 3, 6], [1, 2, 9], [12, 14, 4], [5, 11, 10, 7], [8, 13, 15], [18, 20, 17, 19], [21, 23, 22, 24]]
2: [[16, 3], [1, 2, 9, 6], [12, 14, 4], [5, 11, 10, 7], [8, 13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
3: [[16, 3, 6], [1, 2, 9], [12, 14, 4], [5, 11, 7], [10, 8], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
4: [[16, 3, 6], [1, 2, 9], [12, 14, 4, 5, 11, 7], [10, 8], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
5: [[16, 3, 6], [1, 2, 9], [12, 14, 7], [4, 5, 11, 10, 8], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
6: [[16, 1, 2, 3], [9, 12, 14, 6], [4, 5], [11, 10, 8, 7], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
7: [[16, 1, 2, 3], [9, 12, 14, 4, 5, 11, 7, 6], [10, 8, 13], [15, 18], [20, 17, 19], [21, 23, 22, 24]]
8: [[16, 3, 6], [1, 2, 9], [12, 14, 4], [5, 11, 10, 8, 7], [13, 15], [18, 20, 17, 19], [21, 23, 22, 24]]
9: [[16, 1, 2, 3], [9, 12, 14, 4, 6], [5, 11, 7], [10, 8, 13], [15, 18], [20, 17, 19], [21, 23, 22, 24]]
10: [[16, 1, 2, 3], [9, 12, 6], [14, 4, 5], [11, 10, 8, 7], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
11: [[16, 1, 2, 3], [9, 12, 6], [14, 4, 5], [11, 10, 8, 7], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
12: [[6], [16, 1, 2, 9, 3], [12, 14, 4, 5, 11, 7], [10, 8, 13, 15, 18, 20, 17, 19], [21, 23, 22, 24]]
13: [[16, 3, 6], [1, 2, 9], [12, 14, 7], [4, 5, 11, 10, 8], [13, 15, 18, 20], [17, 19], [21, 23, 22, 24]]
14: [[16, 3], [1, 2, 9, 12], [14, 4, 5, 11, 7, 6], [10, 8], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
15: [[16, 1, 2, 3], [9, 12], [14, 4, 5, 6], [11, 10, 8, 7], [13, 15], [18, 20, 17, 19], [21, 23, 22, 24]]
16: [[16, 1, 2, 3, 6], [9, 12], [14, 4, 5], [11, 10, 7], [8, 13, 15, 18], [20, 17, 19, 21], [23, 22, 24]]
17: [[16, 1, 3], [2, 9, 12, 14, 6], [4, 5, 11, 10, 8, 7], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
18: [[16, 1, 2], [9, 12, 14, 6], [4, 5, 11, 7], [10, 8, 3], [13, 15, 18], [20, 17, 19], [21, 23, 22, 24]]
19: [[16, 3], [1, 2, 9, 6], [12, 14, 4, 5], [11, 10, 8, 13, 7], [15, 18, 20, 17], [19, 21, 23, 22, 24]]
20: [[16, 1, 2, 3], [9, 12, 14, 6], [4, 5], [11, 10, 7], [8, 13], [15, 18, 20], [17, 19, 21], [23, 22, 24]]
21: [[16, 1, 2, 9, 3], [12, 14], [4, 5], [11, 10, 8, 7], [13, 15, 6], [18, 20, 17, 19, 21], [23, 22, 24]]
22: [[16, 3, 6], [1, 2, 9, 12], [14, 4], [5, 11, 10, 8, 7], [13, 15, 18], [20, 17, 19, 21], [23, 22, 24]]
23: [[16, 3, 6], [1, 2, 9, 12], [14, 4], [5, 11, 10, 8, 7], [13, 15, 18], [20, 17, 19, 21], [23, 22, 24]]
24: [[16, 1, 3, 6], [2, 9], [12, 14, 4], [5, 11, 10, 7], [8, 13], [15, 18], [20, 17, 19, 21], [23, 22, 24]]
25: [[16, 3, 6], [1, 2, 9, 12], [14, 4, 5, 11, 10, 7], [8, 13], [15, 18, 20, 17], [19, 21, 23, 22, 24]]
26: [[7, 3, 6, 16], [1, 2, 9], [12, 14, 4], [5, 11, 10], [8, 13, 15], [18, 20, 17], [19, 21, 23, 22, 24]]
27: [[16, 1, 2, 9, 3, 6], [12, 14, 4], [5, 11, 10, 8, 7], [13, 15, 18, 20], [17, 19, 21], [23, 22, 24]]
28: [[7, 3, 6, 16], [1, 2, 9, 12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 19, 21], [23, 22, 24]]
29: [[16, 1, 3], [2, 9, 12, 14, 6], [4, 5], [11, 10, 8, 7], [13, 15, 18, 20], [17, 19, 21], [23, 22, 24]]
30: [[6, 16, 3], [1, 2, 9, 12], [14, 4, 5, 11, 7], [10, 8, 13, 15, 18, 20, 17], [19, 21, 23, 22, 24]]
31: [[16, 1, 3], [2, 9, 12, 14], [4, 5, 11, 7, 6], [10, 8, 13], [15, 18], [20, 17, 19, 21], [23, 22, 24]]
32: [[6, 16, 3], [1, 2, 9], [12, 14, 4, 5], [11, 10, 8, 13, 15, 18, 20, 7], [17, 19, 21, 23, 22, 24]]
33: [[7, 3, 6], [16, 2, 9, 1], [14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 12], [19, 21, 23, 22, 24]]
34: [[16], [1, 2, 9, 12], [14, 4, 5, 11, 7, 6], [10, 8, 13, 3], [15, 18, 20, 17], [19, 21, 23, 22, 24]]
35: [[16, 1, 2, 9], [12, 14], [4, 5, 11, 7, 6], [10, 8, 3], [13, 15, 18, 20, 17], [19, 21, 23, 22, 24]]
36: [[16, 1, 2], [9, 12, 14, 6], [4, 5, 11, 7], [10, 8, 3], [13, 15, 18], [20, 17], [19, 21], [23, 22, 24]]
37: [[16, 1, 2, 3], [9, 12, 14, 6], [4, 5, 11, 10, 7], [8, 13, 15, 18], [20, 17, 19, 21, 23, 22, 24]]
38: [[7, 16, 3, 6], [1, 2, 9], [12, 14, 4, 5], [11, 10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
39: [[7, 3, 6], [16, 1, 2, 9], [12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20], [17, 19, 21, 23, 22, 24]]
40: [[7, 3, 6, 16], [1, 2, 9], [12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
41: [[16, 3], [1, 2], [9, 12, 14, 6], [4, 5, 11, 7], [10, 8], [13, 15], [18, 20, 17, 19], [21, 23, 22], [24]]
42: [[6, 16, 3], [1, 2], [9, 12, 14, 4], [5, 11, 7], [10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
43: [[6, 16, 1, 2, 3], [9, 12, 14, 4], [5, 11, 10, 8, 13, 7], [15, 18, 20, 17, 19, 21, 23, 22, 24]]
44: [[6, 16, 3], [1, 2, 9, 12], [14, 4, 5, 11, 7], [10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
45: [[16, 1, 2, 3], [9, 12, 14], [4, 5, 11, 7, 6], [10, 8, 13, 15], [18, 20, 17, 19, 21, 23, 22, 24]]
46: [[7, 3, 6], [16, 1, 2, 9, 12, 14, 4, 5, 11, 10, 8, 13, 15, 18], [20, 17, 19, 21, 23, 22, 24]]
47: [[7, 3, 6], [16, 1, 2, 9], [12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
48: [[7, 3, 6], [16, 1, 2, 9], [12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
49: [[7, 3, 6], [16, 1, 2, 9], [12, 14, 4, 5, 11, 10, 8, 13, 15, 18, 20, 17, 19, 21, 23, 22, 24]]
