0: [[10, 4], [9, 12, 6, 2], [5, 3, 1], [7, 11, 8, 13]]
1: [[10, 1, 4], [9, 12, 6, 2], [5, 3], [7, 11, 8, 13]]
2: [[10, 1, 4], [9, 12, 6, 2], [5, 3], [7, 11, 8, 13]]
3: [[10, 1, 4], [9, 12, 6, 2], [5, 3], [7, 11, 8, 13]]
4: [[10, 4], [1, 9, 12, 2, 6], [5, 3], [7, 11, 8, 13]]
5: [[10, 1, 9, 4], [12, 6, 2], [5, 3], [7, 11, 8, 13]]
6: [[10, 1, 9, 4], [12, 6, 2], [5, 3], [7, 11, 8, 13]]
7: [[10, 1, 4, 9], [12, 2], [6, 5, 3], [7, 11, 8, 13]]
8: [[10, 1, 4, 9], [12, 2], [6, 5, 3], [7, 11, 8, 13]]
9: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
10: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
11: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
12: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
13: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
14: [[10, 4], [1, 12, 2, 9], [6, 5, 3], [7, 11, 8, 13]]
15: [[10, 1, 9, 12, 4], [6, 2], [5, 3], [7, 11, 8, 13]]
16: [[10, 4], [1, 9], [12, 2, 6, 5, 3], [7, 11, 8, 13]]
17: [[10, 4], [1, 9], [12, 2, 6, 5, 3], [7, 11, 8, 13]]
18: [[10, 4], [1, 9, 12], [2, 6, 5, 3], [7, 11, 8, 13]]
19: [[10, 1, 4], [12, 2, 6, 5, 9], [3, 7], [11, 8, 13]]
20: [[10, 1, 4], [12, 2, 6, 5, 9], [3, 7], [11, 8, 13]]
21: [[10, 1, 4], [12, 2, 6, 5, 9], [3, 7], [11, 8, 13]]
22: [[10, 4], [1, 9, 12, 2], [6, 5, 3, 7], [11, 8, 13]]
23: [[10, 4, 1], [9, 12], [2, 6, 5], [3, 7, 11, 8, 13]]
24: [[10, 1, 12, 4], [2, 6, 5, 9], [3, 7], [11, 8, 13]]
25: [[10, 4], [1, 9, 12, 2], [6, 5], [3, 7, 11, 8, 13]]
26: [[10, 4], [1, 9, 12, 2], [6, 5], [3, 7, 11, 8, 13]]
27: [[10, 4], [1, 9, 12], [2, 6, 5], [3, 7, 11, 8, 13]]
