0: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
1: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
2: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
3: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
4: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
5: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
6: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
7: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
8: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
9: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
10: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
11: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
12: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
13: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
14: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
15: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
16: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
17: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
18: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
19: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
20: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
21: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
22: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
23: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
24: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
25: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
26: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
27: [[12, 10, 5, 2], [6, 11, 9], [3, 1, 4], [8, 13, 7]]
