0: [[8], [33, 17], [1, 32, 39, 19, 37, 13, 6, 21], [16, 15, 40, 10, 18], [27, 7, 9], [3, 30], [58, 4], [5, 11, 36, 50], [55, 20, 23, 26, 14, 24, 22, 25, 12], [28], [31, 29, 34, 45, 54], [35, 43, 42, 2], [47, 44, 38, 41], [46, 59], [51, 48], [49, 57], [52, 56], [53, 60]]
1: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 54, 52, 55, 56, 59, 57, 58, 60]]
2: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
3: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
4: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 54, 52, 55, 56, 59, 57, 58, 60]]
5: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
6: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
7: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
8: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 52, 54, 55, 56, 59, 57, 58, 60]]
9: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
10: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
11: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
12: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
13: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
14: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 52, 54, 55, 56, 59, 57, 58, 60]]
15: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 54, 52, 55, 56, 59, 57, 58, 60]]
16: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
17: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
18: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 52, 54, 55, 56, 59, 57, 58, 60]]
19: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
20: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
21: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
22: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
23: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
24: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
25: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 54, 52, 55, 56, 59, 57, 58, 60]]
26: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
27: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
28: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 54, 52, 55, 56, 59, 57, 58, 60]]
29: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
30: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 54, 52, 55, 56, 59, 57, 58, 60]]
31: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
32: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
33: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
34: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
35: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
36: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 49, 48, 53, 51, 52, 54, 55, 56, 59, 57, 58, 60]]
37: [[1, 35, 21, 6, 2, 39, 3, 5, 14, 4, 11, 8, 27, 7, 9, 13, 30, 26, 25, 17], [10, 12, 18, 15, 16, 19, 22, 20, 23, 28, 24, 29, 37, 40, 32, 33, 38, 42, 31, 44], [36, 50, 41, 43, 34, 47, 45, 46, 51, 48, 53, 49, 52, 54, 55, 56, 59, 57, 58, 60]]
