0: [[19, 4], [2, 1, 9], [18, 15], [3, 5, 6], [7, 11], [8, 10, 14], [13, 12, 20], [17, 16], [22], [21, 23, 24]]
1: [[19, 4], [2, 1, 9], [18, 15], [3], [5, 6], [7, 11, 8], [10, 14], [13, 12, 20], [17, 16, 22], [21, 23, 24]]
2: [[19, 4], [2, 1, 9], [18, 15], [3, 5], [6, 7, 11], [8, 10, 14], [13, 12, 20], [17, 16, 22], [21, 23, 24]]
3: [[2], [9], [18, 15], [3, 5], [6, 7, 11], [8, 10, 14, 13], [12, 20, 17, 19, 1], [16, 22, 4], [21, 23, 24]]
4: [[2], [18], [15, 3], [5, 6, 7], [11, 8, 19], [10, 14], [13, 12, 20, 1], [17, 16, 9], [22, 4], [21, 23, 24]]
5: [[2], [9, 18], [15, 3], [5, 6, 7, 11], [8, 10, 14, 13], [12, 20, 17, 19, 1], [16, 22, 4], [21, 23, 24]]
6: [[19, 4], [2, 1, 9], [18, 15], [3, 5, 6], [7, 11], [8, 10], [14, 13, 12, 20], [17, 16], [22, 21], [23, 24]]
7: [[2], [9, 18], [15, 3], [5, 6], [7, 11, 8, 10], [14, 13, 12], [20, 17, 19, 1], [16, 22, 4], [21, 23, 24]]
8: [[2], [18], [15, 3, 4], [5, 6, 9], [7], [11, 8, 19], [10, 14], [13, 12, 20, 1], [17, 16, 22], [21, 23, 24]]
9: [[2], [18], [15, 3, 4], [5, 6, 9], [7], [11, 8, 19], [10, 14], [13, 12, 20, 1], [17, 16, 22], [21, 23, 24]]
10: [[2], [18], [15, 3, 4], [5, 6, 9], [7, 11], [8, 10, 19], [14, 13], [12, 20, 1], [17, 16, 22], [21, 23, 24]]
11: [[2], [9, 18], [15, 3, 5], [6, 7, 11, 8], [10, 14, 13], [12, 20, 17, 19, 1], [16, 22, 4], [21, 23, 24]]
12: [[2], [9, 18], [15, 3, 5], [6, 7, 11], [8, 19], [10, 14, 13], [12, 20, 17, 1], [16, 22, 4], [21, 23, 24]]
13: [[2], [9, 18], [15, 3, 5, 4], [6, 7], [11, 8], [10, 14], [13, 12, 20, 1], [17, 16, 22, 19], [21, 23, 24]]
14: [[19, 4], [2, 1, 9], [18, 15], [3, 5], [6, 7], [11, 8], [10, 14, 13], [12, 20], [17, 16], [22, 21, 23, 24]]
15: [[2, 9], [18, 15], [3, 5, 6, 7], [11, 8], [10, 14, 13], [12, 20, 17, 19, 1], [16, 22, 4], [21], [23, 24]]
16: [[2], [9, 18], [15, 3, 5, 4], [6, 7, 11, 8, 10], [14, 13, 12], [20, 17, 19, 1], [16], [22, 21, 23, 24]]
17: [[2], [9, 18], [15, 3, 5, 4], [6, 7, 11], [8, 10, 19], [14, 13, 12], [20, 17, 1], [16], [22, 21, 23, 24]]
18: [[2], [18], [15, 3], [5, 6, 4], [7], [11, 8, 9], [10, 14, 13], [12, 20, 19, 1], [17, 16, 22], [21, 23, 24]]
19: [[19, 4], [2, 1], [9, 18], [15, 3], [5, 6], [7, 11], [8, 10, 14, 13], [12, 20], [17, 16, 22, 21], [23, 24]]
20: [[2, 9, 18], [15, 3, 5, 4], [6, 7], [11], [8, 10, 14, 19], [13, 12, 20, 1], [17, 16], [22, 21, 23, 24]]
21: [[2], [18], [15, 3, 4], [5, 6, 7, 11, 8], [10, 14], [13], [12, 20, 19, 1], [17, 16, 9], [22, 21], [23, 24]]
22: [[19, 4], [2, 1, 9, 18], [15, 3], [5, 6], [7, 11], [8, 10, 14, 13], [12, 20], [17, 16], [22, 21], [23, 24]]
23: [[2], [18], [15, 3, 4], [5, 6, 9], [7, 11, 8], [10, 14, 13], [12, 20, 19, 1], [17, 16], [22, 21], [23, 24]]
24: [[2], [18], [15, 3, 4], [5], [6, 7, 9], [11, 8], [10, 14, 13], [12, 20, 19, 1], [17, 16], [22, 21, 23, 24]]
