0: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
1: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
2: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
3: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
4: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
5: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
6: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
7: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
8: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 14, 10, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
9: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 14, 10, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
10: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
11: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
12: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
13: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
14: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 14, 10, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
15: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 14, 10, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
16: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
17: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
18: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
19: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
20: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
21: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
22: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
23: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
24: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
25: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
26: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
27: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
28: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
29: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
30: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 14, 10, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
31: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
32: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
33: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
34: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
35: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
36: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
37: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
38: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
39: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
