0: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [13, 11, 12, 9], [15, 16, 17, 18, 19, 20]]
1: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 13, 9, 12], [15, 18, 17, 19, 16, 20]]
2: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 13, 12, 9], [15, 19, 16, 17, 18, 20]]
3: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [13, 11, 12, 9], [15, 16, 17, 18, 19, 20]]
4: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 19, 18, 16, 17, 20]]
5: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 18, 16, 19, 17, 20]]
6: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 13, 12, 9], [15, 19, 18, 16, 17, 20]]
7: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 17, 16, 18, 19, 20]]
8: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 19, 18, 16, 17, 20]]
9: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [11, 13, 12, 9], [15, 18, 17, 19, 16, 20]]
10: [[3, 1], [5, 10, 8, 7, 2], [14, 6, 4], [15, 11, 12, 9], [13, 18, 16, 17, 19, 20]]
11: [[3, 1, 5, 10, 8], [7, 2], [14, 4, 6], [9, 13, 11, 12], [15, 19, 16, 18, 17, 20]]
12: [[3, 1, 5, 10, 8], [7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 19, 16, 17, 18, 20]]
13: [[3, 1, 5, 10, 8], [7, 2], [14, 6, 4], [11, 13, 12, 9], [15, 18, 17, 16, 19, 20]]
14: [[3, 1, 5, 10, 8], [7, 2], [14, 6, 4], [11, 12, 13, 9], [15, 18, 16, 17, 19, 20]]
15: [[3, 1, 5, 10, 8], [7, 2], [14, 6, 4], [11, 12, 9, 13], [15, 19, 17, 18, 16, 20]]
16: [[3, 1, 5, 10, 8], [7, 2], [14, 6, 4], [11, 13, 12, 9], [15, 16, 17, 18, 19, 20]]
17: [[3, 1, 5], [10, 8], [7, 2, 14, 6, 4], [11, 13, 9, 12], [15, 18, 16, 19, 17, 20]]
18: [[3, 1, 5], [10, 8], [7, 2, 14, 6, 4], [11, 13, 12, 9], [15, 18, 17, 16, 19, 20]]
19: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 4], [11, 13, 12, 9], [18, 16, 17, 19, 20, 15]]
20: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 4], [11, 13, 12, 9], [17, 19, 16, 18, 20, 15]]
21: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 4], [11, 13, 12, 9], [16, 18, 17, 19, 20, 15]]
22: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 4], [11, 13, 12, 9], [19, 16, 18, 17, 20, 15]]
23: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 4], [13, 11, 9, 12], [15, 18, 17, 19, 16, 20]]
24: [[3, 1], [5, 10, 8], [7, 2, 14, 4, 6], [15, 13, 9, 11], [12, 19, 17, 18, 16, 20]]
25: [[3, 1, 5, 10, 8], [7, 2, 14], [6, 4], [11, 12, 13, 9], [15, 19, 16, 18, 17, 20]]
26: [[3, 1, 5, 10], [8, 7, 2], [14, 6], [4, 11, 13, 12, 9], [15, 18, 16, 19, 17, 20]]
27: [[3, 1, 5, 10], [8, 7, 2], [14, 6], [11, 13, 12, 4, 9], [15, 19, 16, 17, 18, 20]]
28: [[3, 1, 5, 10, 8], [7, 2, 14, 6], [11, 4], [13, 12, 9], [18, 16, 17, 19, 20, 15]]
29: [[3, 1, 5, 10], [8, 7, 2], [14, 6, 4, 9, 11], [12, 13], [15, 18, 16, 19, 17, 20]]
30: [[3, 1], [5, 10, 8, 7], [2, 14, 6, 11, 13], [12, 15, 9], [4, 17, 16, 18, 20, 19]]
31: [[3, 1, 5, 10], [8, 7, 2, 14, 6], [4, 11], [12, 13, 9], [15, 18, 17, 16, 19, 20]]
32: [[3, 1, 5, 10], [8, 7, 2], [14, 6, 4, 11, 13], [12, 9], [17, 19, 16, 18, 15, 20]]
33: [[3, 1, 5, 10], [8, 7, 2], [14, 6, 4, 11, 13], [12, 9], [15, 16, 17, 18, 19, 20]]
34: [[3, 1, 5, 10], [8, 7, 2], [14, 11, 13, 6, 4], [12, 9], [15, 18, 19, 16, 17, 20]]
35: [[3, 1, 5, 10], [8, 7, 2], [14, 6, 4, 11, 13], [12, 9], [15, 18, 17, 16, 19, 20]]
36: [[3, 1, 5, 10], [8, 7, 2], [14, 11, 13, 6, 4], [12, 9], [15, 16, 17, 18, 19, 20]]
37: [[3, 1, 5, 10], [8, 7, 2], [14, 11, 12, 6, 4], [13, 9], [15, 19, 16, 17, 18, 20]]
38: [[3, 1, 5, 10], [8, 7, 2], [14, 6, 4, 15, 11], [13, 9], [12, 20, 19, 17, 16, 18]]
39: [[3, 1, 5, 10], [8, 7, 2, 14, 6], [4, 11, 12], [13, 9], [15, 17, 16, 18, 19, 20]]
40: [[3, 1, 5], [10, 8, 7, 2, 14], [6, 11], [9, 13, 12, 15], [16, 17, 18, 19, 20, 4]]
41: [[3, 1, 5, 10], [8, 7, 2], [14, 6], [4, 15, 12, 11, 9], [13, 19, 16, 17, 18, 20]]
