0: [[18, 11, 3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22, 17, 19, 20], [21, 23, 24]]
1: [[18, 11, 3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22, 17, 19, 20], [21, 23, 24]]
2: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
3: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
4: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
5: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
6: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
7: [[18, 11], [3, 16, 1], [9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
8: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
9: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
10: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
11: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
12: [[18, 11], [3, 16], [1, 9], [6, 4, 2], [5, 8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
13: [[18, 11], [3, 16], [1, 9, 6], [4, 2], [5, 8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
14: [[18, 11], [3, 16], [1, 9], [6, 4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22], [17, 19, 20], [21, 23, 24]]
15: [[18, 11], [3, 16], [1, 9], [6, 4, 2], [5, 8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
16: [[18, 11], [3, 16], [1, 9, 6], [4, 2], [5, 8, 13], [7, 10, 14, 12, 15, 22], [17, 19, 20], [21, 23, 24]]
17: [[18, 11], [3, 16], [1, 9, 6], [4, 2], [5, 8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
18: [[18, 11, 3], [16, 1, 9], [6, 4, 2], [5, 8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
19: [[18, 11], [3, 16, 1], [9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22], [17, 19, 20], [21, 23, 24]]
20: [[18, 11], [3, 16], [1, 9], [6, 4], [2, 5, 8], [13, 7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
21: [[18, 11], [3, 16, 1], [9, 6, 4], [2, 5], [8, 13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
22: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22, 17], [19, 20], [21, 23, 24]]
23: [[18, 11], [3, 16, 1], [9, 6, 4], [2, 5, 8], [13, 7, 10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
24: [[18, 11], [3, 16], [1, 9], [6, 4], [2, 5, 8], [13, 7], [10, 14], [12, 15, 22], [17, 19, 20], [21, 23, 24]]
25: [[18, 11], [3, 16, 1], [9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22, 17], [19, 20], [21, 23, 24]]
26: [[18, 11, 3], [16, 1], [9, 6, 4], [2, 5], [8, 13, 7], [10, 14, 12], [15, 22], [17, 19, 20], [21, 23, 24]]
27: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22, 17], [19, 20, 21], [23, 24]]
28: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12, 15, 22, 17], [19, 20, 21], [23, 24]]
29: [[18, 11, 3], [16, 1], [9, 6, 4], [2, 5, 8], [13, 7, 10], [14, 12], [15, 22, 17], [19, 20], [21, 23, 24]]
30: [[18, 11], [3, 16, 1], [9, 6, 4], [2, 5], [8, 13], [7, 10, 14], [12, 15], [22, 17, 19], [20, 21, 23, 24]]
31: [[18, 11, 3], [16, 1, 9], [6, 4, 2, 5, 8, 13, 7, 10, 14, 12], [15, 22, 17], [19, 20, 21], [23, 24]]
32: [[18, 11], [3, 16], [1, 9], [6, 4, 2], [5, 8, 13, 7], [10, 14, 12], [15, 22, 17], [19, 20, 21], [23, 24]]
33: [[18, 11, 3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14], [12, 15, 22, 17, 19, 20, 21, 23, 24]]
34: [[18, 11], [3, 16, 1], [9, 6, 4], [2, 5, 8, 13], [7, 10], [14, 12, 15], [22, 17, 19], [20, 21, 23, 24]]
35: [[18, 11], [3, 16], [1, 9, 6], [4, 2], [5, 8, 13], [7, 10, 14], [12, 15, 22], [17, 19, 20, 21, 23, 24]]
36: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12], [15, 22, 17, 19, 20, 21, 23, 24]]
37: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13, 7], [10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
38: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5], [8, 13], [7, 10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
39: [[18, 11], [3, 16], [1, 9, 6], [4, 2], [5, 8, 13], [7, 10], [14, 12, 15], [22, 17, 19, 20, 21, 23, 24]]
40: [[18, 11, 3, 16, 1, 9], [6, 4, 2], [5, 8, 13, 7], [10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
41: [[18, 11], [3, 16], [1, 9], [6, 4, 2], [5, 8, 13], [7, 10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
42: [[18, 11], [3, 16], [1, 9, 6], [4, 2, 5, 8], [13, 7], [10, 14, 12], [15, 22, 17, 19], [20, 21, 23], [24]]
43: [[18, 11], [3, 16, 1], [9, 6, 4], [2, 5, 8], [13, 7, 10], [14, 12], [15, 22, 17], [19, 20, 21, 23, 24]]
44: [[18, 11], [3, 16, 1], [9, 6, 4, 2], [5, 8, 13], [7, 10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
45: [[18, 11, 3], [16, 1, 9, 6, 4, 2, 5, 8, 13, 7, 10], [14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
46: [[18, 11], [3, 16], [1, 9, 6, 4], [2, 5, 8], [13, 7, 10], [14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
47: [[18, 11, 3], [16, 1, 9], [6, 4, 2, 5, 8, 13, 7, 10, 14, 12, 15, 22, 17, 19, 20, 21, 23, 24]]
