0: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
1: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
2: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
3: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
4: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
5: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
6: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
7: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
8: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
9: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
10: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
11: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
12: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
13: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
14: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
15: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
16: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
17: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
18: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
19: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
20: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
21: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
22: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
23: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
24: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
25: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
26: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
27: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
28: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
29: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
30: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
31: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
32: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
33: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
34: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
35: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
36: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
37: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
38: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
39: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
40: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
41: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
42: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
43: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
44: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
45: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
46: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
47: [[3, 6, 10], [1, 4, 2], [14, 7, 11], [8, 9, 15], [12, 5, 13], [17, 16, 18], [22, 19, 20], [21, 23, 24]]
