0: [[19, 6, 3, 13, 4, 5, 9, 1, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
1: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
2: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
3: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
4: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
5: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
6: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
7: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
8: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
9: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
10: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
11: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
12: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
13: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
