0: [[4, 19, 10], [1, 2, 13], [3, 5, 6], [15, 9, 8], [7, 11], [12, 16, 22, 14, 17, 18, 20], [21, 23, 24]]
1: [[1, 2, 13], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 4], [14, 17, 19, 10], [18, 20], [21, 23, 24]]
2: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20], [21, 23, 24]]
3: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20], [21, 23, 24]]
4: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20], [21, 23, 24]]
5: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20], [21, 23, 24]]
6: [[1, 2, 13], [3, 5, 6, 4], [15, 9, 8], [7, 11], [12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
7: [[1, 2, 13], [3, 5, 6, 15], [9, 8, 7, 11], [12, 16, 22, 4, 19], [14, 17, 10], [18, 20], [21, 23, 24]]
8: [[1, 2, 13], [3, 5, 4], [6, 15, 9], [8, 7, 11], [12, 16, 22, 19], [14, 17, 18, 20, 10], [21, 23, 24]]
9: [[1, 2, 13], [3, 5, 6, 4], [15, 9, 8, 7], [11, 12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
10: [[1], [2, 13, 3, 10], [5, 6, 15], [9, 8], [7, 11], [12, 16, 19], [22, 14, 4], [17, 18, 20], [21, 23, 24]]
11: [[1, 2], [13, 3, 5, 6], [15, 9, 8, 7, 11], [12, 16, 22, 4, 19], [14, 17, 10], [18, 20], [21, 23, 24]]
12: [[1], [2, 13, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20, 19], [21, 23, 24]]
13: [[1, 2], [13, 3, 5], [6, 15], [9, 8], [7, 11], [12, 16, 22, 4, 19], [14, 17, 18, 20, 10], [21, 23, 24]]
14: [[1, 2], [13, 3, 5], [6, 15], [9, 8], [7, 11], [12, 16, 22, 4, 19], [14, 17, 18, 20, 10], [21, 23, 24]]
15: [[1, 2, 10], [13, 3, 5], [6, 15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20, 19], [21, 23, 24]]
16: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20, 21], [23, 24]]
17: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20, 21], [23, 24]]
18: [[1, 2, 13, 19, 10], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 4], [17, 18, 20, 21], [23, 24]]
19: [[1, 2, 13, 10], [3, 5, 4], [6, 15, 9], [8, 7, 11], [12, 16, 22, 14], [17, 18, 20, 19], [21, 23, 24]]
20: [[1, 2, 13, 3], [5, 6, 15, 4], [9, 8, 7, 11], [12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
21: [[1, 2, 13, 3], [5, 6, 15, 4], [9, 8, 7, 11], [12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
22: [[1], [2, 13, 3, 10], [5, 6, 15, 9], [8, 7], [11, 12, 16], [22, 14, 4], [17, 18, 20, 19], [21, 23, 24]]
23: [[1], [2, 13, 3, 10], [5, 6, 15], [9, 8], [7, 11, 12], [16, 22, 4], [14, 17, 19], [18, 20], [21, 23, 24]]
24: [[1, 2], [13, 3], [5, 6, 15, 4], [9, 8, 7], [11, 12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
25: [[1, 2, 13], [3, 5], [6, 15, 4], [9, 8, 7], [11, 12, 16], [22, 14, 17, 19, 10], [18, 20], [21, 23, 24]]
26: [[1, 2], [13, 3, 5], [6, 15], [9, 8, 7], [11, 12, 16], [22, 14, 17, 4, 19, 10], [18, 20], [21, 23, 24]]
27: [[1, 2], [13, 3, 5, 10], [6, 15], [9, 8], [7, 11], [12, 16, 22, 4, 19], [14, 17, 18, 20, 21], [23, 24]]
28: [[1, 2, 13, 10], [3, 5, 6, 15], [9, 8], [7, 11], [12, 16, 22, 4, 19], [14, 17, 18], [20, 21, 23, 24]]
29: [[1, 2, 10], [13, 3, 5, 6, 15, 4], [9, 8, 19], [7, 11], [12, 16, 22, 14, 17], [18, 20, 21], [23, 24]]
30: [[1, 2, 13], [3, 5, 6, 4], [15, 9], [8, 7], [11, 12, 16], [22, 14, 17, 19, 10], [18, 20, 21], [23, 24]]
31: [[1, 2, 13], [3, 5], [6, 15, 9], [8, 7], [11, 12, 16], [22, 14, 17, 4, 19, 10], [18, 20, 21], [23, 24]]
32: [[1, 2, 10], [13, 3, 5, 6], [15, 9, 8], [7, 11], [12, 16, 22, 4, 19], [14, 17, 18, 20, 21, 23, 24]]
33: [[1, 2, 10], [13, 3], [5, 6], [15, 9], [8, 7, 11], [12, 16, 22, 4, 19], [14, 17, 18], [20, 21, 23, 24]]
34: [[1, 2], [13, 3, 5], [6, 15], [9, 8, 7], [11, 12, 19], [16, 22, 4], [14, 17, 18, 10], [20, 21], [23, 24]]
35: [[1], [2, 13], [3, 5, 4], [6, 15, 9], [8, 7, 11], [12, 16, 22], [14, 17, 19, 10], [18, 20, 21], [23, 24]]
36: [[4, 19, 10], [1, 2, 13], [3, 5, 6], [15, 9, 8], [7, 11, 12], [16, 22, 14, 17, 18, 20, 21, 23, 24]]
37: [[1, 2, 13, 3, 19, 10], [5, 6, 4], [15, 9, 8], [7, 11, 12], [16, 22, 14, 17, 18, 20, 21, 23, 24]]
38: [[1, 2, 13, 10], [3, 5, 6, 15], [9, 8, 7, 11], [12, 16], [22, 14, 4], [17, 18, 19], [20, 21, 23], [24]]
