0: [[22, 2, 10], [4, 14, 6, 5], [15, 8, 13], [11, 7], [12, 16, 18, 20, 3], [17, 19, 1, 9], [21, 23, 24]]
1: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
2: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
3: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
4: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
5: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
6: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
7: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
8: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
9: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
10: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
11: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
12: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
13: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
14: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
15: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
16: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
17: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
18: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
19: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
20: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
21: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
22: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
23: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
24: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
25: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
26: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
27: [[22, 2], [1, 4, 5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
28: [[22, 2], [1, 4, 5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
