0: [[43], [35, 22, 46, 2, 6], [36, 50], [9], [23, 52, 4, 24, 45, 12], [27, 11], [33, 59, 34], [49, 37, 25, 54, 29], [5], [57, 20, 56, 19, 26, 31, 47], [14, 13, 21], [15, 16, 10, 18], [1, 28], [38, 44], [32, 17], [39, 40], [41, 8], [7, 42], [48], [3, 58, 30, 51], [53], [55], [60]]
1: [[43], [35, 22, 46, 2, 6], [36, 50], [9], [23, 52, 4, 24, 45, 12], [27, 11], [33, 59, 34], [49, 37, 25, 54, 29], [5], [57, 20, 56, 19, 26, 31, 47], [14, 13, 21], [15, 16, 10, 18], [1, 28], [38, 44], [32, 17], [39, 40], [41, 8], [7, 42], [48], [3, 58, 30, 51], [53], [55], [60]]
2: [[43], [35, 22, 46, 2, 6], [36, 50], [9], [23, 52, 4, 24, 45, 12], [27, 11], [33, 59, 34], [49, 37, 25, 54, 29], [5], [57, 20, 56, 19, 26, 31, 47], [14, 13, 21], [15, 16, 10, 18], [1, 28], [38, 44], [32, 17], [39, 40], [41, 8], [7, 42], [48], [3, 58, 30, 51], [53], [55], [60]]
3: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 13, 10, 8, 15, 16, 18, 24, 31, 23, 21, 17], [25, 28, 22, 29, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
4: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 10, 15, 13, 9, 29, 17, 24, 28, 16, 21, 18], [22, 23, 31, 25, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
5: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 21, 15, 25, 17, 24, 13, 16, 23, 18], [22, 29, 26, 28, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
6: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 25, 15, 23, 16, 17, 24, 13, 21, 18], [22, 29, 26, 28, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
7: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 13, 15, 18, 21, 22, 28, 17, 23, 24], [25, 16, 29, 26, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
8: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 13, 15, 17, 18, 16, 21, 23, 25, 28], [24, 26, 22, 31, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
9: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 21, 15, 25, 13, 28, 16, 17, 18, 23], [22, 31, 24, 29, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
10: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 28, 9, 13, 17, 10, 15, 18, 26, 23, 21, 16], [24, 22, 25, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
