0: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 12, 4, 38, 9, 15, 16, 8, 11, 18, 10], [25, 17, 13, 26, 19, 21, 6], [22, 23, 24, 28, 31, 30, 40], [43, 29, 34, 37, 32, 33, 36, 41, 39, 42], [47, 46, 45, 44, 56, 48, 50], [51, 54], [49, 55, 57, 52, 53, 58, 59, 60]]
1: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 38, 6, 8, 10, 12, 29, 26, 25, 31, 15, 17, 22, 9, 19, 28, 13, 16, 24, 18, 23, 21, 40, 30, 44, 48, 39], [36, 45, 33, 32, 37, 43, 34, 42], [46, 41, 47, 49, 52, 50, 51, 55, 54, 53, 60, 59, 56, 58, 57]]
2: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 9, 30, 12, 8, 6, 13, 31, 10, 15, 19, 16, 18, 26, 28, 21, 29, 22, 23, 58, 17, 46, 40, 38, 24, 25, 33], [39, 45, 44, 34, 37, 51, 36, 32], [41, 47, 42, 49, 43, 54, 56, 52, 48, 55, 50, 53, 57, 60, 59]]
3: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 6, 4, 8, 12, 9, 24, 13, 18, 16, 30, 23, 17, 26, 19, 10, 15, 29, 21, 22, 31, 25, 46, 38, 39, 40, 28, 43], [44, 45, 32, 33, 34, 36, 37, 41], [47, 42, 51, 54, 49, 50, 48, 53, 55, 52, 57, 58, 56, 59, 60]]
4: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 4, 13, 45, 3, 8, 12, 15, 6, 17, 19, 9, 10, 16, 26, 18, 21, 29, 25, 23, 22, 24, 28, 30, 44, 40, 53, 31, 33], [38, 34, 32, 36, 39, 37, 42, 43], [46, 41, 59, 50, 47, 56, 48, 51, 54, 49, 55, 52, 60, 57, 58]]
5: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 6, 8, 9, 10, 30, 12, 15, 4, 22, 13, 21, 29, 17, 18, 23, 24, 25, 16, 26, 19, 28, 31, 48, 32, 40, 33, 38], [37, 39, 45, 36, 43, 56, 44, 42], [47, 46, 34, 50, 58, 52, 41, 55, 53, 49, 54, 59, 51, 57, 60]]
6: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 6, 4, 10, 3, 9, 25, 8, 12, 30, 28, 17, 18, 13, 24, 15, 21, 16, 29, 26, 19, 22, 31, 23, 32, 44, 40, 42, 33], [34, 43, 36, 45, 38, 46, 37, 39], [47, 41, 48, 54, 55, 52, 50, 59, 56, 53, 49, 60, 51, 58, 57]]
7: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 4, 8, 43, 13, 9, 15, 10, 11, 18, 21, 31, 17, 12, 16, 19, 54, 28, 22, 26, 24, 23, 29, 25, 40, 38, 58, 6, 30], [33, 36, 37, 46, 32, 34, 42, 39], [41, 45, 44, 51, 59, 49, 47, 55, 52, 53, 50, 57, 48, 60, 56]]
8: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 44, 4, 17, 6, 8, 9, 31, 10, 25, 30, 18, 15, 13, 29, 24, 16, 22, 19, 21, 23, 28, 40, 38, 32, 60, 37], [26, 33, 34, 36, 39, 41, 47, 43], [45, 53, 46, 42, 51, 48, 56, 50, 55, 49, 52, 59, 57, 54, 58]]
9: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 8, 4, 12, 10, 22, 6, 13, 30, 9, 15, 21, 24, 23, 18, 19, 26, 29, 34, 16, 28, 17, 31, 40, 25, 44, 32, 38], [55, 37, 41, 36, 39, 47, 42, 33], [46, 45, 43, 49, 50, 54, 48, 51, 52, 53, 60, 59, 57, 58, 56]]
10: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 24, 8, 18, 10, 26, 23, 16, 12, 13, 15, 17, 30, 25, 19, 22, 21, 28, 29, 31, 38, 37, 46, 44, 32], [33, 36, 40, 39, 42, 43, 41, 47], [57, 54, 45, 49, 48, 51, 34, 50, 52, 53, 58, 55, 56, 59, 60]]
11: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 10, 4, 39, 8, 3, 6, 12, 26, 9, 28, 15, 25, 22, 21, 19, 18, 17, 23, 24, 29, 30, 31, 43, 37, 16, 40, 54, 38], [36, 13, 32, 33, 34, 42, 46, 44], [47, 41, 45, 50, 49, 48, 51, 53, 52, 55, 57, 59, 56, 60, 58]]
12: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 9, 8, 29, 13, 10, 18, 6, 15, 16, 17, 19, 30, 31, 22, 21, 25, 53, 23, 54, 24, 39, 38, 42, 26, 28], [37, 45, 32, 33, 47, 40, 36, 41], [43, 44, 46, 49, 55, 59, 48, 34, 51, 50, 58, 52, 56, 57, 60]]
13: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 32, 6, 10, 8, 15, 13, 29, 9, 21, 22, 23, 16, 19, 25, 18, 24, 17, 28, 26, 30, 31, 33, 46, 34, 37, 38], [48, 39, 36, 47, 12, 42, 41, 40], [43, 44, 45, 52, 53, 49, 51, 50, 58, 55, 54, 56, 60, 59, 57]]
14: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 15, 31, 4, 9, 6, 8, 10, 13, 24, 17, 16, 18, 19, 21, 23, 25, 28, 26, 22, 30, 29, 33, 38, 43, 32, 37], [34, 36, 39, 40, 41, 42, 46, 50], [45, 44, 47, 48, 60, 51, 57, 55, 49, 53, 58, 52, 54, 56, 59]]
15: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 13, 9, 6, 8, 10, 12, 15, 31, 18, 23, 16, 24, 25, 17, 26, 21, 22, 28, 29, 19, 30, 40, 39, 45, 36, 42], [33, 34, 37, 32, 38, 43, 47, 46], [41, 44, 57, 58, 48, 51, 50, 49, 54, 52, 53, 59, 55, 60, 56]]
16: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 8, 4, 41, 3, 9, 12, 19, 15, 18, 26, 13, 10, 23, 31, 22, 21, 25, 17, 24, 30, 29, 16, 6, 44, 32, 37, 28, 34], [38, 39, 33, 36, 43, 45, 40, 42], [46, 49, 53, 51, 47, 56, 48, 54, 52, 50, 55, 58, 59, 57, 60]]
17: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 8, 4, 47, 6, 9, 10, 15, 18, 11, 28, 31, 25, 17, 22, 13, 19, 21, 12, 30, 60, 26, 23, 24, 37, 16, 40, 54, 39], [38, 29, 33, 32, 43, 42, 34, 36], [45, 41, 49, 46, 44, 48, 50, 55, 51, 52, 53, 58, 56, 57, 59]]
18: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 37, 8, 4, 9, 6, 10, 31, 13, 29, 16, 17, 28, 23, 19, 26, 15, 30, 18, 25, 21, 22, 33, 38, 41, 24, 39], [51, 36, 45, 32, 52, 40, 42, 43], [46, 44, 34, 47, 53, 49, 48, 60, 57, 54, 55, 58, 50, 56, 59]]
19: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 9, 8, 13, 12, 11, 26, 4, 6, 15, 10, 16, 21, 24, 23, 22, 19, 18, 28, 25, 52, 30, 17, 31, 37, 29, 40, 38, 32], [54, 33, 41, 36, 43, 46, 42, 34], [47, 45, 49, 60, 39, 44, 50, 51, 48, 53, 55, 58, 57, 56, 59]]
20: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 36, 6, 15, 8, 10, 13, 31, 28, 9, 24, 17, 16, 12, 23, 18, 29, 26, 42, 25, 19, 21, 22, 34, 40, 30, 38], [32, 37, 33, 44, 39, 41, 45, 43], [46, 47, 59, 51, 49, 50, 48, 54, 53, 52, 55, 56, 58, 60, 57]]
21: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 8, 9, 6, 10, 13, 31, 17, 15, 22, 16, 19, 21, 23, 26, 24, 18, 25, 30, 28, 29, 44, 47, 42, 32, 33], [37, 39, 36, 38, 34, 40, 41, 45], [43, 49, 54, 46, 51, 53, 48, 52, 55, 56, 50, 57, 58, 59, 60]]
22: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 6, 31, 22, 9, 8, 10, 13, 16, 15, 17, 21, 23, 24, 26, 25, 28, 30, 43, 18, 19, 44, 39, 33, 29, 37], [32, 38, 40, 34, 45, 36, 42, 52], [41, 47, 46, 49, 53, 51, 55, 54, 48, 59, 50, 56, 57, 58, 60]]
23: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 4, 6, 3, 8, 12, 13, 9, 10, 15, 24, 25, 21, 30, 18, 16, 26, 19, 22, 23, 17, 28, 33, 31, 42, 53, 56, 32, 38], [37, 39, 40, 43, 41, 29, 46, 44], [45, 36, 47, 49, 58, 51, 50, 34, 52, 54, 57, 55, 59, 60, 48]]
24: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 42, 9, 4, 6, 10, 13, 26, 8, 19, 31, 15, 17, 18, 16, 23, 29, 25, 22, 28, 21, 24, 60, 37, 30, 33, 34], [41, 44, 38, 36, 32, 39, 40, 43], [46, 48, 57, 59, 51, 45, 50, 47, 53, 49, 52, 54, 55, 56, 58]]
25: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 8, 4, 9, 13, 15, 23, 28, 18, 24, 17, 21, 16, 29, 22, 19, 31, 30, 25, 26, 39, 34, 33, 36, 10, 38, 6], [40, 37, 44, 32, 45, 46, 41, 42], [43, 47, 52, 49, 54, 48, 59, 51, 53, 50, 57, 55, 58, 56, 60]]
26: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 12, 6, 25, 26, 10, 13, 31, 8, 9, 16, 17, 18, 15, 19, 23, 21, 24, 46, 22, 28, 29, 30, 47, 32, 37, 34], [36, 33, 41, 39, 44, 40, 45, 38], [42, 43, 59, 51, 50, 49, 48, 52, 54, 55, 57, 53, 58, 60, 56]]
27: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 12, 29, 15, 8, 19, 10, 22, 13, 17, 18, 26, 24, 16, 21, 23, 25, 28, 31, 30, 47, 32, 34, 38, 48], [33, 36, 40, 43, 39, 45, 37, 44], [41, 42, 59, 57, 55, 46, 50, 58, 51, 53, 49, 52, 54, 56, 60]]
28: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 8, 12, 13, 10, 9, 19, 17, 31, 18, 15, 16, 22, 26, 21, 29, 28, 23, 24, 25, 30, 54, 33, 34, 52, 32], [40, 36, 37, 39, 43, 45, 38, 44], [41, 46, 42, 47, 48, 56, 55, 60, 51, 49, 53, 50, 57, 58, 59]]
29: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 10, 12, 13, 9, 22, 31, 17, 15, 23, 18, 26, 30, 24, 21, 25, 28, 29, 33, 19, 34, 47, 32, 8, 16, 38], [39, 45, 40, 41, 36, 52, 37, 42], [43, 44, 46, 48, 59, 53, 56, 49, 50, 54, 55, 57, 51, 58, 60]]
30: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 37, 9, 12, 8, 13, 10, 23, 24, 6, 16, 21, 29, 30, 26, 17, 19, 18, 22, 28, 25, 31, 36, 34, 33, 15, 38], [52, 32, 43, 39, 40, 44, 41, 42], [45, 47, 56, 57, 48, 55, 51, 50, 46, 49, 54, 53, 58, 59, 60]]
31: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 12, 8, 10, 9, 13, 23, 24, 31, 15, 17, 18, 21, 16, 22, 28, 19, 25, 30, 26, 29, 36, 39, 40, 33, 32], [37, 38, 43, 46, 34, 42, 45, 41], [47, 44, 52, 50, 48, 54, 53, 49, 51, 55, 59, 60, 56, 57, 58]]
32: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 12, 8, 9, 10, 13, 11, 15, 17, 19, 18, 23, 26, 21, 22, 16, 29, 25, 24, 30, 28, 31, 33, 36, 34, 32, 37], [38, 40, 39, 42, 45, 44, 47, 41], [46, 43, 57, 50, 53, 49, 48, 55, 51, 52, 59, 54, 58, 56, 60]]
33: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 6, 8, 9, 10, 4, 13, 31, 29, 15, 21, 24, 19, 22, 23, 26, 18, 34, 17, 28, 16, 25, 44, 39, 46, 32, 30], [33, 37, 45, 36, 38, 47, 40, 41], [42, 53, 43, 48, 49, 54, 50, 51, 52, 57, 56, 60, 58, 55, 59]]
34: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 8, 4, 12, 9, 6, 10, 13, 31, 17, 15, 21, 16, 19, 18, 22, 26, 28, 23, 24, 30, 33, 29, 44, 25, 46, 32, 34], [37, 39, 40, 36, 38, 47, 43, 41], [42, 45, 49, 51, 50, 53, 48, 54, 55, 60, 52, 57, 58, 59, 56]]
35: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 12, 8, 15, 10, 23, 28, 13, 21, 18, 17, 16, 31, 19, 22, 25, 30, 24, 26, 29, 33, 38, 37, 36, 32], [53, 40, 43, 39, 41, 34, 44, 45], [42, 47, 46, 55, 50, 59, 54, 51, 49, 52, 48, 57, 58, 56, 60]]
36: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 8, 6, 22, 10, 13, 30, 9, 15, 16, 24, 23, 17, 18, 26, 25, 50, 19, 28, 21, 31, 40, 47, 29, 32, 39], [55, 37, 36, 38, 34, 42, 43, 41], [44, 33, 45, 56, 51, 54, 48, 46, 52, 49, 58, 59, 57, 53, 60]]
37: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 15, 12, 13, 16, 26, 31, 23, 8, 25, 28, 17, 22, 18, 19, 21, 53, 24, 54, 42, 30, 37, 10, 29, 32], [33, 45, 40, 36, 46, 34, 38, 41], [43, 44, 59, 51, 48, 47, 49, 58, 39, 52, 55, 57, 50, 56, 60]]
38: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 12, 6, 10, 8, 9, 13, 22, 19, 29, 16, 15, 17, 25, 21, 23, 24, 18, 28, 31, 26, 30, 42, 32, 34, 33, 39], [37, 41, 38, 36, 44, 43, 46, 47], [45, 48, 56, 40, 50, 52, 59, 55, 54, 49, 51, 53, 57, 60, 58]]
39: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 6, 12, 36, 3, 4, 9, 23, 8, 10, 13, 15, 18, 17, 16, 22, 19, 32, 21, 24, 25, 33, 26, 29, 40, 39, 28, 30, 38], [52, 31, 44, 34, 43, 41, 37, 47], [60, 45, 46, 42, 48, 51, 49, 55, 54, 56, 50, 57, 53, 58, 59]]
40: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 10, 6, 22, 13, 26, 8, 16, 18, 31, 21, 17, 19, 23, 9, 28, 15, 30, 24, 25, 29, 37, 34, 33, 54, 42], [32, 38, 41, 44, 43, 36, 40, 56], [47, 52, 46, 39, 53, 51, 45, 49, 48, 59, 50, 57, 55, 58, 60]]
41: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 13, 15, 8, 10, 18, 12, 16, 17, 19, 22, 30, 25, 21, 23, 24, 58, 28, 31, 26, 40, 39, 32, 29, 36], [37, 45, 38, 34, 42, 41, 33, 46], [43, 44, 47, 49, 53, 50, 48, 51, 52, 55, 56, 54, 57, 59, 60]]
42: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 12, 10, 8, 9, 13, 15, 4, 31, 29, 11, 17, 23, 16, 18, 24, 21, 22, 19, 26, 30, 46, 55, 25, 39, 33, 34, 38], [53, 40, 37, 28, 36, 32, 44, 42], [47, 45, 51, 54, 58, 41, 48, 43, 52, 49, 50, 60, 57, 59, 56]]
43: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 8, 13, 15, 10, 17, 28, 12, 21, 19, 16, 29, 18, 31, 22, 25, 24, 30, 23, 26, 33, 40, 32, 36, 54], [52, 41, 45, 44, 37, 34, 38, 39], [42, 51, 47, 43, 46, 50, 60, 49, 58, 53, 55, 48, 56, 57, 59]]
44: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 8, 4, 6, 10, 9, 12, 13, 11, 30, 15, 16, 19, 21, 17, 31, 18, 29, 22, 23, 24, 25, 54, 26, 60, 43, 28, 50, 33], [32, 36, 37, 34, 38, 41, 46, 40], [45, 42, 39, 51, 55, 56, 44, 47, 48, 49, 52, 53, 57, 59, 58]]
45: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 45, 6, 12, 8, 9, 10, 28, 13, 22, 23, 17, 15, 16, 25, 18, 19, 26, 31, 30, 21, 57, 40, 38, 24, 52, 29], [48, 33, 32, 37, 39, 54, 34, 36], [42, 41, 44, 46, 43, 47, 49, 50, 60, 53, 55, 56, 51, 58, 59]]
46: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 6, 8, 18, 13, 10, 26, 9, 15, 16, 24, 19, 21, 22, 23, 17, 58, 52, 25, 57, 30, 40, 28, 45, 32, 44], [37, 29, 41, 31, 46, 42, 36, 33], [34, 39, 59, 51, 38, 56, 48, 50, 55, 43, 60, 47, 49, 53, 54]]
47: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 11, 13, 9, 15, 10], [8, 18, 29, 12, 21, 16, 17, 19, 54, 22, 23, 26, 24, 31, 28, 25, 40, 39, 34, 30, 36, 33, 37, 32, 45, 44, 38, 46, 43], [41, 48, 52, 59, 42, 49, 47, 55, 51, 53, 50, 56, 58, 60, 57]]
48: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 4, 12, 9, 8, 11, 15, 24, 30, 25, 23, 13, 19, 16, 22, 17, 18, 26, 29, 28, 31, 46, 33, 32, 36, 54, 10, 21, 6], [38, 42, 39, 40, 43, 34, 45, 37], [47, 44, 41, 57, 51, 48, 49, 53, 55, 50, 58, 52, 56, 60, 59]]
49: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 12, 8, 10, 15], [13, 22, 29, 30, 9, 16, 17, 19, 21, 23, 31, 24, 18, 28, 26, 25, 33, 34, 32, 43, 36, 37, 38, 41, 39, 46, 44, 42, 48], [40, 47, 59, 49, 45, 57, 52, 54, 50, 51, 53, 55, 58, 56, 60]]
50: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 13, 9, 10, 15, 8, 11, 12, 16, 17, 25, 30, 19, 21, 22, 18, 29, 28, 24, 26, 23, 31, 33, 36, 34, 32, 46], [41, 38, 42, 37, 39, 40, 43, 45], [44, 54, 60, 48, 57, 47, 52, 55, 59, 49, 51, 50, 58, 56, 53]]
51: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 8, 12, 4, 10, 6, 23], [9, 15, 13, 22, 21, 16, 24, 19, 17, 26, 25, 34, 29, 28, 30, 31, 40, 18, 47, 48, 36, 55, 37, 41, 32, 39, 38, 42, 33], [46, 45, 43, 44, 49, 51, 52, 50, 53, 54, 56, 59, 57, 58, 60]]
