0: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
1: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
2: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
3: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
4: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
5: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
6: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
7: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
8: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
9: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
10: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
11: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
12: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
13: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
14: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
15: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
16: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
17: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
18: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
19: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
20: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
21: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
22: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
23: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
24: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
25: [[12, 7, 9], [1, 2, 4], [3, 5], [6, 8, 11], [10, 13]]
