0: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
1: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
2: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
3: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
4: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
5: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
6: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
7: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
8: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
9: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
10: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
11: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
12: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
13: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
14: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
15: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
16: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
17: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
18: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
19: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
20: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
21: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
22: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
23: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
24: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
25: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
26: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
27: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
28: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
29: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
30: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
31: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
32: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
33: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
34: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
35: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
36: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
37: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
38: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
39: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
40: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
41: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
42: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
43: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
44: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
45: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
46: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
47: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
48: [[25, 13, 20, 14], [11, 6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
49: [[25, 13, 20, 14], [11, 6, 5, 17, 10], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
50: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23], [22, 4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
51: [[25, 13, 20, 14], [11, 6, 5, 10], [17, 7, 9, 23], [22, 4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
52: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
53: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
54: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
55: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
56: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
57: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
58: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
59: [[25, 13, 20, 14, 11], [6, 5, 10, 17], [7, 9, 23, 22], [4, 8, 3, 12], [15, 16, 19, 1], [24, 2, 18, 28], [21, 29, 27, 26]]
