0: [[2, 1], [6, 3, 4, 5, 9], [7, 11], [10, 14], [8, 15], [12, 13, 20, 19], [18, 17, 16, 22], [21, 23, 24]]
1: [[2], [4, 5, 9, 6], [7, 11], [10, 14], [8, 15], [12, 13, 20, 1], [19, 18, 17, 16, 3], [22, 21, 23, 24]]
2: [[2, 1], [4, 5, 6], [9, 7, 11, 10, 14], [8, 15, 12, 13], [20, 19, 18, 17], [16, 22, 3], [21, 23, 24]]
3: [[2, 1], [4, 5, 6], [9, 7, 11, 10, 14], [8, 15, 12, 13], [20, 19, 18, 17], [16, 22, 3], [21, 23, 24]]
4: [[2, 1], [4, 5, 6], [9, 7, 11, 10, 14], [8, 15, 12, 13], [20, 19, 18, 17], [16, 22, 3], [21, 23, 24]]
5: [[2], [4, 5, 9, 6], [7, 11, 10, 14], [8, 15, 12, 13], [20, 19, 1], [18, 17, 16, 3], [22, 21, 23, 24]]
6: [[2, 1], [4, 5, 6], [9, 7, 11, 10, 14], [8, 15, 12, 13, 20], [19, 18], [17, 16, 22, 3], [21, 23, 24]]
7: [[2, 4, 1, 6], [5, 9], [7, 11], [10, 14], [8, 15], [12, 13, 20], [19, 18, 17, 16, 3], [22, 21, 23, 24]]
8: [[2], [4, 5, 6], [9, 7, 11], [10, 14, 8, 15], [12, 13], [20, 19, 18, 1], [17, 16, 22, 3], [21, 23, 24]]
9: [[2, 1], [6, 3, 4], [5, 9], [7, 11], [10, 14], [8, 15], [12, 13, 20], [19, 18, 17, 16], [22, 21], [23, 24]]
10: [[2], [4, 5, 9, 7, 6], [11, 10], [14, 8], [15, 12], [13, 20, 19, 1], [18, 17, 16, 22, 3], [21, 23, 24]]
11: [[2], [4], [5, 9], [7, 11, 10], [14, 8], [15, 12, 13, 6], [20, 19, 1], [18, 17], [16, 22, 3], [21, 23, 24]]
12: [[2], [4, 5], [9, 7, 11, 10, 6], [14, 8, 15, 12], [13, 20, 19, 18, 1], [17, 16, 3], [22, 21, 23, 24]]
13: [[2], [4, 5], [9, 7], [11, 10, 6], [14, 8, 15, 12], [13, 20, 19, 18, 17, 1], [16, 22, 3], [21, 23, 24]]
14: [[2], [4, 5, 6], [9, 7], [11, 10], [14, 8], [15, 12, 13, 20, 19, 1], [18, 17, 16, 22, 3], [21, 23, 24]]
15: [[2], [4, 5], [9, 7], [11, 10, 1], [14, 8, 6], [15, 12, 13, 20], [19, 18, 17], [16, 22, 3], [21, 23, 24]]
16: [[2], [4, 5], [9, 7], [11, 10], [14, 8, 15, 12], [13, 20, 19, 18, 1], [17, 16, 22, 6, 3], [21, 23, 24]]
17: [[2], [4, 5, 6], [9, 7], [11, 10], [14, 8, 15], [12, 13, 20, 1], [19, 18], [17, 16, 22, 3], [21, 23, 24]]
18: [[2], [4, 5, 6], [9, 7], [11, 10], [14, 8, 15, 12], [13, 20, 1], [19, 18], [17, 16, 22, 3], [21, 23, 24]]
19: [[2], [5], [9, 7, 11, 6], [10, 14], [8, 15, 12], [13, 20, 1], [19, 18], [17, 16, 3], [22, 21, 4], [23, 24]]
20: [[2], [4, 5, 6], [9, 7], [11, 10], [14, 8], [15, 12], [13, 20, 19, 1], [18, 17, 16, 3], [22, 21, 23, 24]]
21: [[2, 1], [6, 3, 4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 20, 19, 18, 17, 16], [22, 21, 23, 24]]
22: [[2], [4], [5, 9, 7, 11, 10, 6], [14, 8], [15, 12], [13, 20, 1], [19, 18], [17, 16, 22, 3], [21, 23, 24]]
23: [[2], [4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 6], [20, 19, 18, 1], [17, 16, 22, 3], [21, 23, 24]]
24: [[2], [4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 6], [13, 20, 1], [19, 18], [17, 16, 22, 3], [21, 23, 24]]
25: [[2], [4, 5, 6], [9, 7], [11, 10], [14, 8, 15, 12], [13, 20, 1], [19, 18], [17, 16, 3], [22, 21, 23, 24]]
26: [[2], [5], [9, 7], [11, 10], [14, 8], [15, 12, 6], [13, 20, 1], [19, 18, 4], [17, 16, 22, 3], [21, 23, 24]]
27: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 20], [19, 18, 17, 16], [22, 21], [23, 24]]
