0: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6, 15], [12, 13, 9], [17, 4]]
1: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6, 15], [12, 13, 9], [17, 4]]
2: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6, 15], [12, 13, 9], [17, 4]]
3: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6, 15], [12, 13, 9], [17, 4]]
4: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6, 15], [12, 13, 9], [17, 4]]
5: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [15, 13, 17, 12, 9, 4]]
6: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [15, 13, 17, 12, 9, 4]]
7: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 15, 13, 4, 6], [17, 12, 9]]
8: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 15, 13, 4, 6], [17, 12, 9]]
9: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
10: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
11: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
12: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
13: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
14: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
15: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
16: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
17: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
18: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
19: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [12, 13, 15], [17, 9, 4]]
20: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [12, 13, 15], [17, 9, 4]]
21: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [12, 13, 15], [17, 9, 4]]
22: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 15, 13, 17, 12, 9, 4, 6]]
23: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 15, 13, 17, 12, 9, 4, 6]]
24: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 15, 13, 17, 12, 9, 4, 6]]
25: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2, 16], [14, 6, 15], [12, 13], [17, 9, 4]]
26: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 9], [12]]
27: [[3, 11], [20, 18, 19], [5, 7, 10, 8], [1, 2, 16], [14, 6, 15], [13, 9, 4], [17, 12]]
28: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2, 16, 14, 6], [13, 4, 15], [17, 12, 9]]
29: [[3, 11, 20], [18, 19], [5, 7, 10], [8, 1, 2], [16, 14, 6], [13, 4, 15], [17, 12, 9]]
30: [[3, 11], [20, 18, 19, 5], [7, 10, 8], [1, 2], [16, 14, 4, 6], [12, 15], [17, 13, 9]]
31: [[3, 11], [20, 18, 19], [5, 7, 10], [8, 1, 2, 16, 14, 6, 13, 15, 17, 12, 9, 4]]
32: [[3, 11, 20], [18, 19], [5, 7, 10], [8, 1, 2, 16], [14, 6, 15], [13, 9, 4], [17, 12]]
33: [[3, 11], [20, 18, 19], [5, 7, 10, 8, 1, 2, 16, 14, 6, 15, 12, 13, 9, 17, 4]]
34: [[3, 11], [20, 18], [19, 5, 7], [10, 8, 1], [2, 16, 14, 4, 6], [12, 13, 15], [17, 9]]
35: [[3, 11, 20], [18, 19, 5], [7, 10, 8], [1, 2, 16, 6], [14, 15], [12, 13, 9], [17, 4]]
36: [[3, 11, 20, 4], [18, 19, 5], [7, 10, 8], [1, 2, 16, 6], [14, 15], [13, 9], [17, 12]]
37: [[3, 11, 20, 4], [18, 19, 5], [7, 10, 8], [1, 2, 16, 6], [14, 15], [13, 9], [17, 12]]
38: [[3, 11, 20], [18, 19, 5], [7, 10, 8], [1, 2, 16], [14, 6, 15], [12, 13], [9, 17, 4]]
39: [[3, 11, 20], [18, 19, 5], [7, 10, 8], [1, 2, 16], [14, 6], [15, 4, 13], [9, 17, 12]]
40: [[3, 11, 20, 18], [19, 5, 7], [10, 8], [1, 2, 16, 14, 6, 15, 4, 13, 17, 12, 9]]
41: [[3, 11, 20], [18, 19], [5, 7, 10, 8, 1, 2, 16, 14, 6, 13, 4, 12, 9, 17, 15]]
