0: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
1: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 19, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
2: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 10, 19, 14, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
3: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
4: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
5: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 19, 23, 10, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
6: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 23, 16, 19, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
7: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
8: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
9: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
10: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
11: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 19, 16, 23, 10, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
12: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 22, 19, 16, 23, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
13: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
14: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
15: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
16: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 23, 22, 19], [21, 26, 27], [20, 25, 24, 28, 29]]
17: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 23, 14, 16, 19, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
18: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
19: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
20: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 22, 19, 23, 16], [21, 26, 27], [20, 25, 24, 28, 29]]
21: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 29, 28, 24]]
22: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 22, 19, 16, 23, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
23: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
