0: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
1: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
2: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
3: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
4: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
5: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
6: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
7: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
8: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
9: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
10: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
11: [[25, 35, 21, 5, 14, 6], [3, 1, 2, 4, 7, 13], [11, 12, 24, 9, 27, 31], [30, 16, 18, 10, 8, 15], [19, 23, 17, 20, 22, 58], [28, 29, 32, 37, 40, 33], [34, 42, 26, 36, 50, 39], [44, 47, 38, 45, 41, 46], [43, 52, 56, 48, 54, 51], [49, 53, 55, 59, 57, 60]]
