It No., Best MQ, No clusters, max clus, min clus
1,1.7196527565243984,15,7,2
2,1.9052156821122743,15,7,1
3,1.7262147377260744,7,32,1
4,1.901183451913424,14,10,2
5,1.7461591088212212,14,8,1
6,1.8341094112957834,16,12,1
7,1.7372180310544998,13,8,2
8,1.800165256766743,17,6,2
9,1.957171136271004,17,8,1
10,1.8805707503297189,14,8,2
11,1.7165345871090478,10,8,2
12,1.7462963427735068,13,7,2
13,1.8260795009930113,19,6,1
14,1.8427608531828492,15,8,2
15,1.8101045248614476,19,9,2
16,1.7998583224289437,14,10,2
17,1.8854918035168349,18,5,2
18,1.906774227776881,15,7,2
19,1.8479820692422606,14,14,1
20,1.918811890946248,16,5,2
21,1.9692713209012604,18,6,2
22,1.73213117003582,12,11,2
23,1.930653978348364,16,8,1
24,1.7433135352367573,15,12,1
25,1.823750371322984,16,8,2
26,1.8454227586544651,17,6,2
27,1.71728141634377,14,11,1
28,1.9267724716085404,14,8,2
29,1.9876175644373433,17,5,2
30,2.0082495905926323,14,10,2
31,1.9498556950160375,17,7,1
