0: [[3, 8, 1], [5, 2, 7, 10], [14, 15, 4], [13, 11, 12, 9], [16, 6], [18, 17, 19, 20]]
1: [[3, 8, 1], [5, 2, 7, 10], [14, 15, 4], [13, 11, 12, 9], [16, 6], [18, 17, 19, 20]]
2: [[3, 8, 1], [5, 2, 7, 10], [14, 15, 4], [13, 11, 12, 9], [16, 6], [18, 17, 19, 20]]
3: [[3, 8, 1], [5, 2, 7, 10], [14, 4, 6], [13, 11, 12, 9], [15, 18, 16], [17, 19, 20]]
4: [[3, 8, 1], [5, 2, 7, 10], [14, 6], [12, 13, 11, 9], [15, 18, 16, 17, 19, 20, 4]]
5: [[3, 8, 1], [5, 2, 7, 10], [14, 4, 6, 9], [11, 12], [13, 15, 16], [19, 17, 18, 20]]
6: [[3, 8, 1], [5, 2, 7, 10], [14, 6, 4, 9], [11, 12], [13, 16, 15], [19, 17, 18, 20]]
7: [[3, 8, 1], [5, 2, 7], [10, 11, 9], [12], [13, 14, 4], [16, 6, 15], [19, 17, 20, 18]]
8: [[3, 8, 1], [5, 2, 7], [14, 11, 4], [13, 12], [10, 16, 6, 15, 9], [19, 17, 18, 20]]
9: [[3, 8, 1], [5, 2, 7, 10], [14, 6, 4, 9], [11], [12, 16, 17, 13], [18, 19, 20, 15]]
10: [[3, 8, 1], [5, 2, 7], [14, 11, 12], [13, 4], [6, 9, 15, 10], [16, 18, 19, 17, 20]]
11: [[3, 8, 1], [5, 2, 7], [10, 12, 15], [14, 11, 13, 4, 9], [16, 6], [19, 17, 18, 20]]
12: [[3, 8, 1], [5, 2], [7, 10], [14, 6, 4], [11, 15, 9], [12, 16, 13, 17], [18, 19, 20]]
13: [[3, 8, 1], [5, 2, 7, 10], [14, 15, 13, 4, 6], [12, 9, 16, 18], [17, 11, 19, 20]]
14: [[3, 8, 1], [5, 2, 7], [14, 4, 11], [15, 6], [10, 12, 13, 9], [16, 19, 18, 17, 20]]
15: [[3, 8, 1], [5, 2, 7, 10], [13, 4, 9], [11, 12, 14, 15], [16, 6, 19, 17, 18, 20]]
16: [[3, 8, 1], [5, 2, 7], [10, 14, 15], [6, 13, 4], [12, 9, 11, 17], [18, 16, 19, 20]]
17: [[3, 8, 1], [5, 2], [7, 10], [12, 9, 13, 4, 11, 14], [16, 17, 6], [15, 18, 19, 20]]
18: [[3, 8, 1], [5, 2, 7], [11, 6, 9], [13, 14, 4], [12, 10], [19, 17], [18, 16, 20, 15]]
19: [[3, 8, 1, 5, 2, 7, 10, 14], [4, 15, 6, 11, 9, 12, 13, 16], [17, 18, 19, 20]]
20: [[3, 8, 1], [5, 2, 7, 10, 14], [11, 4, 13, 6], [12, 15], [9, 16], [18, 17, 19, 20]]
21: [[3, 8, 1], [5, 2, 7, 10], [12, 9, 13, 4], [11, 14], [16, 17], [6, 15], [18, 19, 20]]
22: [[3, 8, 1], [5, 2, 7], [10, 6], [12, 11, 13, 16, 4], [14, 19, 15, 9], [17, 18, 20]]
23: [[3, 8, 1], [5, 2, 7], [10, 12, 9], [14, 11, 4], [13, 16, 6, 15], [17, 18, 19], [20]]
24: [[3, 8, 1, 5, 2], [7, 10], [14, 12, 11, 15, 9, 13, 16, 17, 6], [18, 19, 20], [4]]
25: [[3, 8, 1], [5, 2, 6], [10, 4, 7], [9, 14, 11, 15], [13, 16, 12], [17, 18, 19, 20]]
26: [[3, 8, 1], [5, 2], [7, 14, 11, 4, 13], [12, 6, 9, 10], [15, 17, 18, 19, 16, 20]]
27: [[3, 8, 1], [5, 2, 6], [10, 7, 4], [11, 9, 12, 13, 14], [16, 15, 17, 18], [19, 20]]
28: [[3, 8], [1, 5, 2], [7, 10, 12, 13, 6, 4], [11, 14, 9], [15, 16, 17, 18, 19, 20]]
29: [[3, 8, 1], [5, 2, 7], [14, 10, 11, 12], [13], [16, 6, 15], [19, 17, 18, 20, 4, 9]]
30: [[3, 8, 1, 5, 2, 10, 6], [7, 11, 13, 4, 9, 14], [20, 12, 15, 19, 16, 17, 18]]
31: [[3, 8, 1], [5, 2, 7, 10], [11, 12, 9, 4, 13, 15], [14, 16], [17, 6, 19, 18], [20]]
32: [[3, 8, 1], [5, 2, 7, 10], [15, 13, 9], [6, 4, 12, 11], [16, 14, 17, 18], [19, 20]]
33: [[3, 8, 1], [5, 2, 7], [10, 14, 15, 12], [13, 6], [9, 11, 4, 16], [18, 17, 19, 20]]
34: [[3, 8, 1], [5, 2, 6], [7, 10], [13, 18, 4, 9], [12, 11, 19], [17, 16, 14, 20, 15]]
35: [[3, 8, 1, 5, 2, 7, 10, 14], [4, 9, 6, 11, 12, 13, 20], [17, 19, 15, 16, 18]]
36: [[3, 8, 1, 5, 2, 7], [10, 11], [13, 4, 6, 12, 9], [14, 15, 17, 18, 19, 20, 16]]
37: [[3, 8, 1], [5, 2, 7], [10, 14], [12, 13, 4], [11, 15, 9], [17, 6], [18, 16, 19, 20]]
38: [[3, 8, 1], [5, 2, 6], [10, 4, 9, 7], [12, 14, 11, 15, 16, 13, 19, 18, 17, 20]]
39: [[3, 8, 1, 5, 2, 7], [10, 14, 11], [13, 6, 4, 9, 12, 15, 18, 16, 17, 19, 20]]
40: [[3, 8, 1], [5, 2], [7, 4], [6, 12, 18, 10, 13], [9, 14, 16, 17, 11, 19, 20, 15]]
41: [[3, 8, 1, 5, 2, 7, 10, 13, 6, 12], [9, 14, 4, 11], [15, 18, 17], [19, 16, 20]]
