0: [[1, 3], [16, 9, 6], [5, 7, 2, 8, 10], [18, 11, 12], [14, 13, 4], [17, 19, 20, 15]]
1: [[1, 3], [16, 9, 6], [5, 7], [2, 8, 10], [18, 11, 12], [14, 13, 4], [17, 19, 20, 15]]
2: [[1, 3], [16, 9, 6], [5, 7], [2, 8, 10], [18, 11, 12], [14, 13, 4], [17, 19, 20, 15]]
3: [[1, 3], [16, 5, 9, 6], [7, 2, 8, 10], [18, 11, 12], [14, 13, 4], [17, 19, 20, 15]]
4: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10], [18, 11, 12], [14, 13, 17, 4], [19, 20, 15]]
5: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10], [18, 11, 12], [14, 13, 17, 4], [19, 20, 15]]
6: [[1, 3], [16, 9, 6], [5, 7], [2, 8, 10], [18, 11, 12], [14, 13, 17, 4], [19, 20, 15]]
7: [[1, 3], [16, 9, 6], [5, 7], [8, 10, 2], [18, 11, 12], [14, 13, 17, 19, 15, 20, 4]]
8: [[1, 3], [16, 9, 6], [5, 7], [2, 8, 10], [18, 11, 12], [14, 13, 4], [17, 19], [20, 15]]
9: [[1, 3], [16, 9, 6], [5, 7], [2, 8, 10], [18, 11, 12, 14], [13, 17, 4], [19, 20, 15]]
10: [[1, 3], [16, 5, 9, 6], [7, 2, 8, 10], [18, 11, 12, 14, 13, 17, 4], [19, 20, 15]]
11: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14, 13], [17, 19, 20, 4, 15]]
12: [[1, 3, 16], [9, 6], [5, 7], [2, 8], [10, 18, 11, 12], [14, 13, 4], [17, 19, 20, 15]]
13: [[1, 3, 16], [5, 9, 6], [7, 2, 8, 10], [18, 11, 12, 14, 13, 17, 19, 20, 15, 4]]
14: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
15: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
16: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
17: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
18: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
19: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14, 13, 17, 19, 20, 15, 4]]
20: [[1, 3], [16, 9, 6], [5, 7, 2], [8], [10, 18, 11], [12, 14, 13, 4], [17, 19, 20, 15]]
21: [[1, 3], [16, 9, 6], [5, 7, 2, 8], [10, 18, 11, 12, 14, 13, 17, 19, 20, 15, 4]]
22: [[1, 3], [16, 9, 6], [5, 7, 2, 8], [10, 18, 11, 12, 14, 13, 17, 19, 20, 15, 4]]
23: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14, 13], [4, 17, 19], [20, 15]]
24: [[1, 3], [16, 9, 6], [5, 7], [2, 8], [10, 18, 11], [12, 14, 13], [17, 19, 20, 4, 15]]
25: [[1, 3], [16, 9, 6], [5, 7, 2], [8], [10, 18, 11, 12, 14, 13, 17, 19, 15, 20, 4]]
26: [[1, 3, 16], [9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 4, 17], [20, 19, 15]]
27: [[1, 3], [16, 9, 6], [5, 7, 2], [8], [10, 18, 11, 12, 14, 13, 17, 19, 15, 20, 4]]
28: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18], [11, 12, 14], [13, 4, 17, 19], [20, 15]]
29: [[1, 3, 16], [9, 6], [5, 7], [2, 8], [10, 18, 11, 12], [14, 13, 4], [17, 19], [20, 15]]
30: [[1, 3, 16], [5, 7, 2, 8, 9], [10, 18, 6], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
31: [[1, 3, 16], [5, 9, 6], [7, 2, 8], [10, 18], [11, 12], [14, 13, 17, 19, 20, 4, 15]]
32: [[1, 3], [16, 5, 9, 6], [7, 2, 8], [10, 18, 11, 12, 14], [13, 17, 19, 20, 15, 4]]
33: [[1, 3, 16, 9, 6], [5, 7, 2], [8, 10, 18, 11], [12, 14, 13, 17, 19, 20, 15, 4]]
34: [[1, 3], [16], [5, 7], [2, 8], [10, 18, 11], [12, 14, 6, 15], [13, 17, 9, 4], [19, 20]]
35: [[1, 3], [16, 5, 6], [7, 2, 8], [10, 18], [11, 12, 14], [13, 17, 9, 4], [19, 20, 15]]
36: [[1, 3], [16, 9, 6, 15], [5, 7, 2], [8, 10, 18, 11, 12, 14, 13, 17, 19, 20], [4]]
37: [[1, 3], [16, 9, 6], [5, 7, 2], [8, 10, 18, 11, 12, 14, 13, 17, 19, 4], [20, 15]]
38: [[1, 3, 16], [5, 7, 9, 6], [2, 8], [10, 18, 11], [12, 14, 13], [17, 19], [20, 4, 15]]
39: [[1, 3], [16, 9], [5, 7, 2, 6], [8, 10, 18, 11, 12, 14, 13, 4, 17, 19, 20, 15]]
40: [[1, 3, 16], [9, 6, 5], [7, 2, 8], [10, 18], [11, 12, 14], [13, 17, 4], [19, 20, 15]]
41: [[1, 3], [16, 9, 6, 5], [7, 2, 8], [10, 18, 11], [12, 14, 13], [4, 17, 19], [20, 15]]
