0: [[29, 13, 9], [3, 11, 1, 7, 10], [6, 5], [4, 8, 14, 12], [15, 16, 19, 2, 20], [23, 17, 28, 24, 18, 22], [21, 25, 26, 27]]
1: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
2: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
3: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
4: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
5: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
6: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
7: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
8: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
9: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
10: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
11: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
12: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
13: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
14: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
15: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
16: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
17: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
18: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
19: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
20: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
21: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
22: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
23: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
24: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
25: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
26: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
27: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
28: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
29: [[29, 10, 9, 7, 19, 5, 1, 2, 6, 14], [3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
30: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
31: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
32: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
33: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
34: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 16, 17], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
35: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
36: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
37: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
38: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
39: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
40: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
41: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
42: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
43: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
44: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
45: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
46: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
47: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
48: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
49: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
50: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
51: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
52: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
53: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
54: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
55: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
56: [[29, 10, 9, 7, 19, 5, 1, 2, 6], [14, 3, 8, 4, 11, 13, 12, 15, 17, 16], [22, 18, 20, 21, 23, 27, 24, 25, 26, 28]]
57: [[29, 9, 3, 19, 5, 12], [1, 6, 13, 2, 10], [8, 4, 11, 15], [24, 7], [16, 20, 17, 28, 22], [25, 18, 14], [21, 23, 26, 27]]
58: [[29, 11, 9, 7, 5, 1, 3, 2, 6, 10], [14, 8, 12, 13, 15, 4, 27, 17, 16], [23, 18, 20, 19, 22, 21, 24, 25, 26, 28]]
