0: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
1: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
2: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
3: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
4: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
5: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
6: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
7: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
8: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
9: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
10: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
11: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
12: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
13: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
14: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
15: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
16: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
17: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
18: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
19: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
20: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
21: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
22: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
23: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
24: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
25: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
26: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
27: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
28: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
29: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
30: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
31: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
32: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
33: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
34: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
35: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
36: [[20, 21, 36, 10], [6, 35, 4], [31, 34, 11], [1, 2, 27], [7, 29, 22], [23, 32, 24], [17, 16, 9], [30, 18, 3], [26, 25, 13], [5, 12, 28], [33, 19, 15], [8, 37, 14]]
