0: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
1: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
2: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
3: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
4: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
5: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 12, 8, 2]]
6: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 12, 8, 2]]
7: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
8: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 12, 8, 2]]
9: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 8, 12, 2]]
10: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 12, 8, 2]]
11: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 13, 12, 8, 2]]
12: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 8, 12, 13, 2]]
13: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
14: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
15: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 8, 12, 13, 2]]
16: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
17: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
18: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 8, 12, 13, 2]]
19: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
20: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
21: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
22: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
23: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
24: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
25: [[5, 3, 1], [10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
26: [[5, 3], [1, 10, 4], [9, 11, 6], [7, 12, 13, 8, 2]]
27: [[5, 3], [1, 10, 4], [9, 11, 6], [7, 12, 8, 13, 2]]
