0: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
1: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
2: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
3: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
4: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
5: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
6: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
7: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
8: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
9: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
10: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
11: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
12: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
13: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
14: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
15: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
16: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8], [11, 12, 9]]
17: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8, 11, 12, 9]]
18: [[5, 1, 3], [7, 13, 2], [6, 4, 10, 8, 11, 12, 9]]
19: [[5, 1, 3], [7, 13, 2], [6, 4, 10], [8, 11, 12, 9]]
20: [[5, 1, 3], [7, 13, 2], [6, 4, 10], [8, 11, 12, 9]]
21: [[5, 1, 3], [7, 13, 2], [6, 4, 10], [8, 11, 12, 9]]
22: [[5, 1, 3], [7, 13, 2, 6], [4, 10, 8], [11, 12, 9]]
23: [[5, 1, 3], [7, 13, 2, 6], [4, 10, 8], [11, 12, 9]]
24: [[5, 1, 3], [7, 13, 2, 6], [4, 10, 8], [11, 12, 9]]
25: [[5, 1, 3], [7, 13, 2, 6], [4, 10, 8], [11, 12, 9]]
