0: [[7, 16, 11, 4], [17, 5, 6, 18, 8, 3, 9, 15], [20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
1: [[15, 4], [16, 17, 5, 6, 18, 8, 3, 11, 7], [9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
2: [[15, 4], [16, 17, 5, 6, 18, 8, 3, 11, 7], [9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
3: [[15, 4], [16, 17, 5, 6, 18, 8, 3, 11, 7], [9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
4: [[15, 16, 4], [17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13, 11, 7], [14, 10, 19], [21, 22, 23, 24]]
5: [[15, 16, 4], [17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13, 11, 7], [14, 10, 19], [21, 22, 23, 24]]
6: [[7, 11, 4], [16, 17, 5, 6, 18, 8, 3, 9, 15], [20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
7: [[7, 16, 11, 4], [17, 5, 6, 18, 8, 3, 9, 20, 15], [1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
8: [[15, 16, 11, 4, 7], [17, 6, 18, 8, 3, 9], [20, 2, 1], [12, 5, 13], [14, 10, 19], [21, 22, 23, 24]]
9: [[7, 16, 17, 5, 6, 11, 4], [18, 8, 15], [3, 9, 20, 1, 2], [12, 13, 14, 10, 19], [21, 22, 23, 24]]
10: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
11: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
12: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
13: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
14: [[15, 16, 17, 5, 6, 11, 4, 7], [18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
15: [[15, 16, 17, 5, 6, 11, 4, 7], [18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
16: [[15, 16, 17, 5, 11, 4, 7], [6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
17: [[7, 16, 11, 4], [17, 5], [6, 18, 8, 15], [3, 9, 20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
18: [[7, 16, 11, 4], [17, 5, 6], [18, 8, 3, 9, 20, 15], [1, 2, 12, 13, 14, 10, 19], [21, 22, 23, 24]]
19: [[7, 16, 11, 4], [17, 5, 6, 15], [18, 8, 3, 9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
20: [[7, 16, 11, 4], [17, 5], [6, 18, 8, 3, 9, 20, 1, 2, 15], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
21: [[7, 16, 11, 4], [17, 5], [6, 18, 8, 3, 9, 20, 1, 2, 15], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
22: [[7, 16, 11, 4], [17, 5, 6, 15], [18, 8, 3, 9, 20, 1, 2], [12, 13, 14, 10, 19], [21, 22, 23, 24]]
23: [[7, 16, 17, 5, 11, 4], [6, 18, 8, 3, 9, 20, 1, 2, 15], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
24: [[7, 16, 17, 5, 6, 11, 4], [18, 8, 15], [3, 9, 20, 1, 2, 12, 13, 14], [10, 19], [21, 22, 23, 24]]
25: [[15, 16, 17, 5, 6, 18, 8, 11, 4, 7], [3, 9], [20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
26: [[15, 16, 17, 5, 6, 18, 8, 11, 4, 7], [3, 9], [20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
27: [[11, 4, 15], [7, 16], [17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13, 14, 10, 19], [21, 22, 23, 24]]
28: [[15, 16, 17, 5, 6, 11, 4, 7], [18, 8], [3, 9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
29: [[15, 16, 17, 5, 6, 11, 4, 7], [18, 8], [3, 9, 20, 1, 2], [12, 13], [14, 10, 19], [21, 22, 23, 24]]
