0: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
1: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
2: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
3: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
4: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
5: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
6: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
7: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
8: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
9: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
10: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
11: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
12: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
13: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
14: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
15: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
16: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
17: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
18: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
19: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
20: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
21: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
22: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
23: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
24: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
25: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
26: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
